record_type,target,status,rule_combination,language_combination,phenotype,confidence,mentions,propositions,unique_studies,selected_propositions,selected_winning_propositions,selected_study_target_pairs
mention,ACL,negative,cruciate_and_collateral_ligaments,english,abnormality_absent,0.75,52,0,52,0,0,0
mention,ACL,negative,cruciate_and_collateral_ligaments,greek_script,abnormality_absent,0.75,56,0,56,0,0,0
mention,ACL,negative,cruciate_and_collateral_ligaments,latin_other,abnormality_absent,0.75,7,0,7,0,0,0
mention,ACL,negative,cruciate_and_collateral_ligaments,spanish,abnormality_absent,0.75,238,0,238,0,0,0
mention,ACL,negative,cruciate_ligaments,cyrillic_script,abnormality_absent,0.75,137,0,134,0,0,0
mention,ACL,negative,cruciate_ligaments,dutch,abnormality_absent,0.75,59,0,58,0,0,0
mention,ACL,negative,cruciate_ligaments,english,abnormality_absent,0.75,134,0,134,0,0,0
mention,ACL,negative,cruciate_ligaments,french,abnormality_absent,0.75,20,0,20,0,0,0
mention,ACL,negative,cruciate_ligaments,german,abnormality_absent,0.75,148,0,148,0,0,0
mention,ACL,negative,cruciate_ligaments,greek_script,abnormality_absent,0.75,57,0,55,0,0,0
mention,ACL,negative,cruciate_ligaments,latin_other,abnormality_absent,0.75,5,0,5,0,0,0
mention,ACL,negative,cruciate_ligaments,south_slavic,abnormality_absent,0.75,55,0,55,0,0,0
mention,ACL,negative,cruciate_ligaments,spanish,abnormality_absent,0.75,272,0,272,0,0,0
mention,ACL,negative,cruciate_ligaments,turkish,abnormality_absent,0.75,8,0,8,0,0,0
mention,Lateral Meniscus,negative,both_menisci,dutch,abnormality_absent,0.75,37,0,36,0,0,0
mention,Lateral Meniscus,negative,both_menisci,english,abnormality_absent,0.75,166,0,165,0,0,0
mention,Lateral Meniscus,negative,both_menisci,french,abnormality_absent,0.75,4,0,4,0,0,0
mention,Lateral Meniscus,negative,both_menisci,german,abnormality_absent,0.75,11,0,11,0,0,0
mention,Lateral Meniscus,negative,both_menisci,greek_script,abnormality_absent,0.75,34,0,33,0,0,0
mention,Lateral Meniscus,negative,both_menisci,latin_other,abnormality_absent,0.75,6,0,6,0,0,0
mention,Lateral Meniscus,negative,both_menisci,south_slavic,abnormality_absent,0.75,5,0,5,0,0,0
mention,Lateral Meniscus,negative,both_menisci,spanish,abnormality_absent,0.75,9,0,9,0,0,0
mention,Lateral Meniscus,negative,both_menisci_negative_only,cyrillic_script,abnormality_absent,0.75,10,0,10,0,0,0
mention,Lateral Meniscus,negative,both_menisci_negative_only,dutch,abnormality_absent,0.75,41,0,40,0,0,0
mention,Lateral Meniscus,negative,both_menisci_negative_only,english,abnormality_absent,0.75,225,0,223,0,0,0
mention,Lateral Meniscus,negative,both_menisci_negative_only,french,abnormality_absent,0.75,5,0,5,0,0,0
mention,Lateral Meniscus,negative,both_menisci_negative_only,german,abnormality_absent,0.75,48,0,47,0,0,0
mention,Lateral Meniscus,negative,both_menisci_negative_only,latin_other,abnormality_absent,0.75,11,0,11,0,0,0
mention,Lateral Meniscus,negative,both_menisci_negative_only,south_slavic,abnormality_absent,0.75,9,0,9,0,0,0
mention,Lateral Meniscus,negative,both_menisci_negative_only,spanish,abnormality_absent,0.75,127,0,127,0,0,0
mention,Lateral Meniscus,negative,both_menisci_negative_only,turkish,abnormality_absent,0.75,2,0,2,0,0,0
mention,Lateral Meniscus,positive,both_menisci,english,degeneration,0.8,3,0,3,0,0,0
mention,Lateral Meniscus,positive,both_menisci,english,tear,0.8,10,0,10,0,0,0
mention,Lateral Meniscus,positive,both_menisci,greek_script,tear,0.8,3,0,3,0,0,0
mention,Lateral Meniscus,positive,both_menisci,latin_other,tear,0.8,1,0,1,0,0,0
mention,Lateral Meniscus,positive,both_menisci,south_slavic,degeneration,0.8,1,0,1,0,0,0
mention,Lateral Meniscus,positive,both_menisci,south_slavic,tear,0.8,3,0,3,0,0,0
mention,Lateral Meniscus,positive,both_menisci,spanish,degeneration,0.8,3,0,2,0,0,0
mention,Lateral Meniscus,positive,both_menisci,spanish,tear,0.8,25,0,13,0,0,0
mention,Lateral OA,negative,tibiofemoral_compartments,latin_other,abnormality_absent,0.75,8,0,4,0,0,0
mention,Lateral OA,negative,tibiofemoral_compartments,spanish,abnormality_absent,0.75,326,0,164,0,0,0
mention,Lateral OA,positive,lateral_and_patellofemoral_compartments,english,chondral_abnormality,0.8,3,0,3,0,0,0
mention,Lateral OA,positive,lateral_and_patellofemoral_compartments,english,tear,0.8,2,0,1,0,0,0
mention,Lateral OA,positive,tibiofemoral_compartments,english,abnormality,0.8,3,0,2,0,0,0
mention,Lateral OA,positive,tibiofemoral_compartments,english,chondral_abnormality,0.8,1,0,1,0,0,0
mention,Lateral OA,positive,tibiofemoral_compartments,spanish,chondral_abnormality,0.8,100,0,27,0,0,0
mention,MCL,negative,collateral_ligaments,cyrillic_script,abnormality_absent,0.75,120,0,118,0,0,0
mention,MCL,negative,collateral_ligaments,dutch,abnormality_absent,0.75,55,0,54,0,0,0
mention,MCL,negative,collateral_ligaments,english,abnormality_absent,0.75,234,0,234,0,0,0
mention,MCL,negative,collateral_ligaments,german,abnormality_absent,0.75,61,0,61,0,0,0
mention,MCL,negative,collateral_ligaments,greek_script,abnormality_absent,0.75,121,0,118,0,0,0
mention,MCL,negative,collateral_ligaments,latin_other,abnormality_absent,0.75,10,0,10,0,0,0
mention,MCL,negative,collateral_ligaments,south_slavic,abnormality_absent,0.75,134,0,134,0,0,0
mention,MCL,negative,collateral_ligaments,spanish,abnormality_absent,0.75,36,0,36,0,0,0
mention,MCL,negative,collateral_ligaments,turkish,abnormality_absent,0.75,157,0,156,0,0,0
mention,MCL,negative,cruciate_and_collateral_ligaments,english,abnormality_absent,0.75,52,0,52,0,0,0
mention,MCL,negative,cruciate_and_collateral_ligaments,greek_script,abnormality_absent,0.75,56,0,56,0,0,0
mention,MCL,negative,cruciate_and_collateral_ligaments,latin_other,abnormality_absent,0.75,7,0,7,0,0,0
mention,MCL,negative,cruciate_and_collateral_ligaments,spanish,abnormality_absent,0.75,238,0,238,0,0,0
mention,Medial Meniscus,negative,both_menisci,dutch,abnormality_absent,0.75,37,0,36,0,0,0
mention,Medial Meniscus,negative,both_menisci,english,abnormality_absent,0.75,174,0,173,0,0,0
mention,Medial Meniscus,negative,both_menisci,french,abnormality_absent,0.75,4,0,4,0,0,0
mention,Medial Meniscus,negative,both_menisci,german,abnormality_absent,0.75,11,0,11,0,0,0
mention,Medial Meniscus,negative,both_menisci,greek_script,abnormality_absent,0.75,34,0,33,0,0,0
mention,Medial Meniscus,negative,both_menisci,latin_other,abnormality_absent,0.75,6,0,6,0,0,0
mention,Medial Meniscus,negative,both_menisci,south_slavic,abnormality_absent,0.75,6,0,6,0,0,0
mention,Medial Meniscus,negative,both_menisci,spanish,abnormality_absent,0.75,8,0,8,0,0,0
mention,Medial Meniscus,negative,both_menisci,turkish,abnormality_absent,0.75,60,0,59,0,0,0
