unit,dimension,value,count,mean,std,median,min,max,p05,p25,p75,p95,p99,unique_confidence_values,interpretation
Study-target pair,overall,__all__,52884,0.3941451100521897,0.42515386515732473,0.0,0.0,0.9,0.0,0.0,0.85,0.9,0.9,"[0.0, 0.4, 0.45, 0.5, 0.6200000000000001, 0.69, 0.7, 0.72, 0.75, 0.8, 0.82, 0.83, 0.85, 0.87, 0.88, 0.9]",deterministic evidence-strength rank; not a calibrated probability
Study-target pair,confidence_value,0.0,28296,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,[0.0],deterministic evidence-strength rank; not a calibrated probability
Study-target pair,confidence_value,0.4,14,0.4000000000000001,5.760664408413727e-17,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,[0.4],deterministic evidence-strength rank; not a calibrated probability
Study-target pair,confidence_value,0.45,1,0.45,,0.45,0.45,0.45,0.45,0.45,0.45,0.45,0.45,[0.45],deterministic evidence-strength rank; not a calibrated probability
Study-target pair,confidence_value,0.5,279,0.5,0.0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,[0.5],deterministic evidence-strength rank; not a calibrated probability
Study-target pair,confidence_value,0.6200000000000001,5,0.6200000000000001,0.0,0.6200000000000001,0.6200000000000001,0.6200000000000001,0.6200000000000001,0.6200000000000001,0.6200000000000001,0.6200000000000001,0.6200000000000001,[0.6200000000000001],deterministic evidence-strength rank; not a calibrated probability
Study-target pair,confidence_value,0.69,64,0.69,0.0,0.69,0.69,0.69,0.69,0.69,0.69,0.69,0.69,[0.69],deterministic evidence-strength rank; not a calibrated probability
Study-target pair,confidence_value,0.7,4,0.7,0.0,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,[0.7],deterministic evidence-strength rank; not a calibrated probability
Study-target pair,confidence_value,0.72,435,0.72,0.0,0.72,0.72,0.72,0.72,0.72,0.72,0.72,0.72,[0.72],deterministic evidence-strength rank; not a calibrated probability
Study-target pair,confidence_value,0.75,3319,0.75,0.0,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,[0.75],deterministic evidence-strength rank; not a calibrated probability
Study-target pair,confidence_value,0.8,128,0.8000000000000002,1.1145854108785588e-16,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,[0.8],deterministic evidence-strength rank; not a calibrated probability
Study-target pair,confidence_value,0.82,1006,0.8200000000000001,1.1107752370565288e-16,0.82,0.82,0.82,0.82,0.82,0.82,0.82,0.82,[0.82],deterministic evidence-strength rank; not a calibrated probability
Study-target pair,confidence_value,0.83,88,0.83,0.0,0.83,0.83,0.83,0.83,0.83,0.83,0.83,0.83,[0.83],deterministic evidence-strength rank; not a calibrated probability
Study-target pair,confidence_value,0.85,8763,0.8499999999999998,2.22057275449446e-16,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,[0.85],deterministic evidence-strength rank; not a calibrated probability
Study-target pair,confidence_value,0.87,1036,0.8699999999999998,2.2215184695249847e-16,0.87,0.87,0.87,0.87,0.87,0.87,0.87,0.87,[0.87],deterministic evidence-strength rank; not a calibrated probability
Study-target pair,confidence_value,0.88,286,0.8799999999999999,1.112169078747266e-16,0.88,0.88,0.88,0.88,0.88,0.88,0.88,0.88,[0.88],deterministic evidence-strength rank; not a calibrated probability
Study-target pair,confidence_value,0.9,9160,0.9000000000000002,2.220567262562042e-16,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,[0.9],deterministic evidence-strength rank; not a calibrated probability
Study-target pair,target,ACL,4407,0.578241434082142,0.38243434817748934,0.75,0.0,0.9,0.0,0.0,0.85,0.9,0.9,"[0.0, 0.4, 0.5, 0.69, 0.72, 0.75, 0.82, 0.85, 0.87, 0.9]",deterministic evidence-strength rank; not a calibrated probability
Study-target pair,target,Baker's,4407,0.3634331744951214,0.4303271132953465,0.0,0.0,0.9,0.0,0.0,0.85,0.9,0.9,"[0.0, 0.5, 0.72, 0.83, 0.85, 0.88, 0.9]",deterministic evidence-strength rank; not a calibrated probability
Study-target pair,target,Contusion,4407,0.1604175175856592,0.33619227463087303,0.0,0.0,0.9,0.0,0.0,0.0,0.9,0.9,"[0.0, 0.5, 0.7, 0.72, 0.83, 0.85, 0.88, 0.9]",deterministic evidence-strength rank; not a calibrated probability
Study-target pair,target,Effusion,4407,0.7073632856818698,0.353131751480495,0.9,0.0,0.9,0.0,0.85,0.9,0.9,0.9,"[0.0, 0.4, 0.5, 0.7, 0.72, 0.83, 0.85, 0.88, 0.9]",deterministic evidence-strength rank; not a calibrated probability
Study-target pair,target,Fracture,4407,0.16721352393918765,0.3382344422433188,0.0,0.0,0.9,0.0,0.0,0.0,0.9,0.9,"[0.0, 0.4, 0.5, 0.72, 0.83, 0.85, 0.88, 0.9]",deterministic evidence-strength rank; not a calibrated probability
Study-target pair,target,Lateral Meniscus,4407,0.6117608350351713,0.37851974631151875,0.85,0.0,0.9,0.0,0.0,0.85,0.9,0.9,"[0.0, 0.4, 0.5, 0.69, 0.72, 0.75, 0.8, 0.82, 0.85, 0.87, 0.9]",deterministic evidence-strength rank; not a calibrated probability
Study-target pair,target,Lateral OA,4407,0.21503063308373044,0.3697360061213204,0.0,0.0,0.9,0.0,0.0,0.75,0.9,0.9,"[0.0, 0.69, 0.72, 0.75, 0.8, 0.82, 0.85, 0.87, 0.9]",deterministic evidence-strength rank; not a calibrated probability
Study-target pair,target,MCL,4407,0.5676151577036532,0.3750174561854671,0.75,0.0,0.9,0.0,0.0,0.85,0.9,0.9,"[0.0, 0.4, 0.5, 0.69, 0.72, 0.75, 0.82, 0.85, 0.87, 0.9]",deterministic evidence-strength rank; not a calibrated probability
Study-target pair,target,Medial Meniscus,4407,0.6473224415702292,0.3669300709785421,0.85,0.0,0.9,0.0,0.5,0.9,0.9,0.9,"[0.0, 0.4, 0.45, 0.5, 0.6200000000000001, 0.69, 0.72, 0.75, 0.8, 0.82, 0.85, 0.87, 0.9]",deterministic evidence-strength rank; not a calibrated probability
Study-target pair,target,Medial OA,4407,0.24245291581574768,0.3859231447093325,0.0,0.0,0.9,0.0,0.0,0.75,0.9,0.9,"[0.0, 0.5, 0.69, 0.72, 0.75, 0.8, 0.82, 0.85, 0.87, 0.9]",deterministic evidence-strength rank; not a calibrated probability
Study-target pair,target,PF OA,4407,0.3649307919219424,0.4229076968847044,0.0,0.0,0.9,0.0,0.0,0.85,0.9,0.9,"[0.0, 0.4, 0.5, 0.6200000000000001, 0.69, 0.72, 0.75, 0.8, 0.82, 0.85, 0.87, 0.9]",deterministic evidence-strength rank; not a calibrated probability
Study-target pair,target,Synovitis,4407,0.1039596097118221,0.28639581218493687,0.0,0.0,0.9,0.0,0.0,0.0,0.9,0.9,"[0.0, 0.5, 0.72, 0.83, 0.85, 0.88, 0.9]",deterministic evidence-strength rank; not a calibrated probability
Study-target pair,status,negative,13176,0.8223861566484516,0.04275483193170524,0.85,0.75,0.85,0.75,0.75,0.85,0.85,0.85,"[0.75, 0.82, 0.83, 0.85]",deterministic evidence-strength rank; not a calibrated probability
Study-target pair,status,positive,11118,0.8870894045691673,0.040173695388806475,0.9,0.6200000000000001,0.9,0.8,0.9,0.9,0.9,0.9,"[0.6200000000000001, 0.69, 0.7, 0.72, 0.8, 0.87, 0.88, 0.9]",deterministic evidence-strength rank; not a calibrated probability
Study-target pair,status,uncertain,294,0.4950680272108844,0.02149280691291493,0.5,0.4,0.5,0.48250000000000004,0.5,0.5,0.5,0.5,"[0.4, 0.45, 0.5]",deterministic evidence-strength rank; not a calibrated probability
Study-target pair,status,unknown,28296,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,[0.0],deterministic evidence-strength rank; not a calibrated probability
Study-target pair,language_group,cyrillic_script,2640,0.3045151515151515,0.4047864342686393,0.0,0.0,0.9,0.0,0.0,0.82,0.9,0.9,"[0.0, 0.69, 0.72, 0.75, 0.82, 0.85, 0.87, 0.88, 0.9]",deterministic evidence-strength rank; not a calibrated probability
Study-target pair,language_group,dutch,1836,0.3645642701525055,0.4174648748729108,0.0,0.0,0.9,0.0,0.0,0.85,0.9,0.9,"[0.0, 0.5, 0.69, 0.72, 0.75, 0.82, 0.83, 0.85, 0.87, 0.88, 0.9]",deterministic evidence-strength rank; not a calibrated probability
Study-target pair,language_group,english,20688,0.4808052977571539,0.42535266455204207,0.82,0.0,0.9,0.0,0.0,0.85,0.9,0.9,"[0.0, 0.4, 0.45, 0.5, 0.6200000000000001, 0.69, 0.72, 0.75, 0.8, 0.82, 0.83, 0.85, 0.87, 0.88, 0.9]",deterministic evidence-strength rank; not a calibrated probability
Study-target pair,language_group,french,960,0.463,0.43129404914748276,0.75,0.0,0.9,0.0,0.0,0.87,0.9,0.9,"[0.0, 0.4, 0.5, 0.69, 0.72, 0.75, 0.82, 0.83, 0.85, 0.87, 0.9]",deterministic evidence-strength rank; not a calibrated probability
Study-target pair,language_group,german,3108,0.3136647361647361,0.40611259624493384,0.0,0.0,0.9,0.0,0.0,0.85,0.9,0.9,"[0.0, 0.4, 0.5, 0.69, 0.72, 0.75, 0.82, 0.83, 0.85, 0.87, 0.88, 0.9]",deterministic evidence-strength rank; not a calibrated probability
Study-target pair,language_group,greek_script,3852,0.2731645898234683,0.4006654823974043,0.0,0.0,0.9,0.0,0.0,0.75,0.9,0.9,"[0.0, 0.69, 0.7, 0.72, 0.75, 0.8, 0.82, 0.85, 0.87, 0.88, 0.9]",deterministic evidence-strength rank; not a calibrated probability
Study-target pair,language_group,latin_other,264,0.39147727272727273,0.41286499631832335,0.0,0.0,0.9,0.0,0.0,0.85,0.9,0.9,"[0.0, 0.72, 0.75, 0.8, 0.85, 0.87, 0.9]",deterministic evidence-strength rank; not a calibrated probability
Study-target pair,language_group,south_slavic,4836,0.40758064516129033,0.4267290016602939,0.0,0.0,0.9,0.0,0.0,0.85,0.9,0.9,"[0.0, 0.4, 0.5, 0.69, 0.72, 0.75, 0.8, 0.82, 0.83, 0.85, 0.87, 0.88, 0.9]",deterministic evidence-strength rank; not a calibrated probability
Study-target pair,language_group,spanish,8136,0.33423303834808255,0.40720333512279977,0.0,0.0,0.9,0.0,0.0,0.75,0.9,0.9,"[0.0, 0.4, 0.5, 0.6200000000000001, 0.69, 0.72, 0.75, 0.8, 0.82, 0.85, 0.87, 0.9]",deterministic evidence-strength rank; not a calibrated probability
Study-target pair,language_group,turkish,6564,0.3288391224862888,0.42102903804625774,0.0,0.0,0.9,0.0,0.0,0.85,0.9,0.9,"[0.0, 0.5, 0.69, 0.7, 0.72, 0.75, 0.8, 0.82, 0.83, 0.85, 0.87, 0.88, 0.9]",deterministic evidence-strength rank; not a calibrated probability
Study-target pair,has_conflict,False,52362,0.3910299453802376,0.4260832868170038,0.0,0.0,0.9,0.0,0.0,0.85,0.9,0.9,"[0.0, 0.45, 0.5, 0.75, 0.8, 0.82, 0.83, 0.85, 0.87, 0.88, 0.9]",deterministic evidence-strength rank; not a calibrated probability
Study-target pair,has_conflict,True,522,0.7066283524904214,0.052745466741435355,0.72,0.4,0.72,0.69,0.72,0.72,0.72,0.72,"[0.4, 0.6200000000000001, 0.69, 0.7, 0.72]",deterministic evidence-strength rank; not a calibrated probability
Study-target pair,resolution_mode,collective,3453,0.7515783376773819,0.01186416529761921,0.75,0.45,0.8,0.75,0.75,0.75,0.75,0.8,"[0.45, 0.6200000000000001, 0.75, 0.8]",deterministic evidence-strength rank; not a calibrated probability
Study-target pair,resolution_mode,target_specific,49431,0.3691766300499686,0.42874787440954465,0.0,0.0,0.9,0.0,0.0,0.85,0.9,0.9,"[0.0, 0.4, 0.5, 0.69, 0.7, 0.72, 0.82, 0.83, 0.85, 0.87, 0.88, 0.9]",deterministic evidence-strength rank; not a calibrated probability
selected Proposition,overall,__all__,38706,0.8483741538779517,0.05982180521226255,0.85,0.45,0.9,0.75,0.82,0.9,0.9,0.9,"[0.45, 0.5, 0.75, 0.8, 0.82, 0.83, 0.85, 0.87, 0.88, 0.9]",deterministic evidence-strength rank; not a calibrated probability
selected Proposition,confidence_value,0.45,2,0.45,0.0,0.45,0.45,0.45,0.45,0.45,0.45,0.45,0.45,[0.45],deterministic evidence-strength rank; not a calibrated probability
selected Proposition,confidence_value,0.5,506,0.5,0.0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,[0.5],deterministic evidence-strength rank; not a calibrated probability
selected Proposition,confidence_value,0.75,3645,0.75,0.0,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,[0.75],deterministic evidence-strength rank; not a calibrated probability
selected Proposition,confidence_value,0.8,224,0.8,0.0,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,[0.8],deterministic evidence-strength rank; not a calibrated probability
selected Proposition,confidence_value,0.82,6313,0.8200000000000002,2.2206219331310793e-16,0.82,0.82,0.82,0.82,0.82,0.82,0.82,0.82,[0.82],deterministic evidence-strength rank; not a calibrated probability
selected Proposition,confidence_value,0.83,2109,0.83,0.0,0.83,0.83,0.83,0.83,0.83,0.83,0.83,0.83,[0.83],deterministic evidence-strength rank; not a calibrated probability
selected Proposition,confidence_value,0.85,8796,0.8499999999999998,2.2205722790931854e-16,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,[0.85],deterministic evidence-strength rank; not a calibrated probability
selected Proposition,confidence_value,0.87,2203,0.87,0.0,0.87,0.87,0.87,0.87,0.87,0.87,0.87,0.87,[0.87],deterministic evidence-strength rank; not a calibrated probability
