unit,target,status,count,denominator,mean,std,median,min,max,p05,p25,p75,p95,p99
Report,__all__,__all__,4407,Reports,,,,,,,,,,
clause,__all__,__all__,79781,strict TextViews produced by segment_report,,,,,,,,,,
strict TextView,__all__,__all__,79781,TextViews,,,,,,,,,,
linked TextView,__all__,__all__,2578,TextViews,,,,,,,,,,
Mention,__all__,__all__,52604,Mentions before deduplication,,,,,,,,,,
Proposition,__all__,__all__,41811,deduplicated Propositions,,,,,,,,,,
selected evidence,__all__,__all__,38706,"selected provenance entries, including retained conflicts",,,,,,,,,,
selected winning evidence,__all__,__all__,38184,selected provenance entries matching the final status,,,,,,,,,,
Study-target pair,__all__,__all__,52884,Study × target pairs,,,,,,,,,,
Study-target pair,__all__,positive,11118,Study × target pairs,,,,,,,,,,
Study-target pair,__all__,negative,13176,Study × target pairs,,,,,,,,,,
Study-target pair,__all__,uncertain,294,Study × target pairs,,,,,,,,,,
Study-target pair,__all__,unknown,28296,Study × target pairs,,,,,,,,,,
binary resolved Study-target pair,__all__,__all__,24294,Study × target pairs,,,,,,,,,,
Mention,ACL,__all__,6499,Mentions,,,,,,,,,,
Proposition,ACL,__all__,4834,Propositions,,,,,,,,,,
selected evidence,ACL,__all__,4633,selected provenance entries,,,,,,,,,,
selected winning evidence,ACL,__all__,4561,selected provenance entries matching the final status,,,,,,,,,,
Study-target pair,ACL,positive,963,4407 pairs for target,,,,,,,,,,
Study-target pair,ACL,negative,2077,4407 pairs for target,,,,,,,,,,
Study-target pair,ACL,uncertain,50,4407 pairs for target,,,,,,,,,,
Study-target pair,ACL,unknown,1317,4407 pairs for target,,,,,,,,,,
binary resolved Study-target pair,ACL,__all__,3040,4407 pairs for target,,,,,,,,,,
Mention,MCL,__all__,5343,Mentions,,,,,,,,,,
Proposition,MCL,__all__,4575,Propositions,,,,,,,,,,
selected evidence,MCL,__all__,4468,selected provenance entries,,,,,,,,,,
selected winning evidence,MCL,__all__,4396,selected provenance entries matching the final status,,,,,,,,,,
Study-target pair,MCL,positive,447,4407 pairs for target,,,,,,,,,,
Study-target pair,MCL,negative,2620,4407 pairs for target,,,,,,,,,,
Study-target pair,MCL,uncertain,18,4407 pairs for target,,,,,,,,,,
Study-target pair,MCL,unknown,1322,4407 pairs for target,,,,,,,,,,
binary resolved Study-target pair,MCL,__all__,3067,4407 pairs for target,,,,,,,,,,
Mention,Medial Meniscus,__all__,8822,Mentions,,,,,,,,,,
Proposition,Medial Meniscus,__all__,5478,Propositions,,,,,,,,,,
selected evidence,Medial Meniscus,__all__,5095,selected provenance entries,,,,,,,,,,
selected winning evidence,Medial Meniscus,__all__,4990,selected provenance entries matching the final status,,,,,,,,,,
Study-target pair,Medial Meniscus,positive,2008,4407 pairs for target,,,,,,,,,,
Study-target pair,Medial Meniscus,negative,1283,4407 pairs for target,,,,,,,,,,
Study-target pair,Medial Meniscus,uncertain,74,4407 pairs for target,,,,,,,,,,
Study-target pair,Medial Meniscus,unknown,1042,4407 pairs for target,,,,,,,,,,
binary resolved Study-target pair,Medial Meniscus,__all__,3291,4407 pairs for target,,,,,,,,,,
Mention,Lateral Meniscus,__all__,7355,Mentions,,,,,,,,,,
Proposition,Lateral Meniscus,__all__,5375,Propositions,,,,,,,,,,
selected evidence,Lateral Meniscus,__all__,5121,selected provenance entries,,,,,,,,,,
selected winning evidence,Lateral Meniscus,__all__,5068,selected provenance entries matching the final status,,,,,,,,,,
Study-target pair,Lateral Meniscus,positive,952,4407 pairs for target,,,,,,,,,,
Study-target pair,Lateral Meniscus,negative,2191,4407 pairs for target,,,,,,,,,,
Study-target pair,Lateral Meniscus,uncertain,64,4407 pairs for target,,,,,,,,,,
