unit,detector,target,status,phenotype,language,rule,count,unique_studies,unique_study_target_pairs,non_additivity_note
mention,v2_exact,__all__,__all__,__all__,__all__,__all__,23695,4190,18753,Overall detector total; detector participation counts can overlap.
mention,v3_target,__all__,__all__,__all__,__all__,__all__,17230,3928,13366,Overall detector total; detector participation counts can overlap.
mention,v3_morphology,__all__,__all__,__all__,__all__,__all__,6481,2840,4948,Overall detector total; detector participation counts can overlap.
mention,v2_collective,__all__,__all__,__all__,__all__,__all__,5198,1844,3874,Overall detector total; detector participation counts can overlap.
mention,v3_morphology,Effusion,positive,joint_effusion,english,effusion_en_plural,1386,981,981,Detector participation counts can overlap.
mention,v2_exact,Effusion,positive,abnormality,english,<no_explicit_rule>,1349,1015,1015,Detector participation counts can overlap.
mention,v3_target,Medial Meniscus,positive,tear,english,target_local_association,1126,612,612,Detector participation counts can overlap.
mention,v2_exact,Medial Meniscus,positive,tear,english,<no_explicit_rule>,1087,651,651,Detector participation counts can overlap.
mention,v3_target,MCL,negative,normal_structure,english,target_local_normality,932,926,926,Detector participation counts can overlap.
mention,v2_exact,ACL,negative,abnormality_absent,english,<no_explicit_rule>,891,880,880,Detector participation counts can overlap.
mention,v3_morphology,Baker's,positive,baker_cyst,english,baker_variants,840,618,618,Detector participation counts can overlap.
mention,v3_target,PF OA,positive,chondral_abnormality,english,compartment_scope,815,492,492,Detector participation counts can overlap.
mention,v2_exact,Lateral Meniscus,negative,abnormality_absent,english,<no_explicit_rule>,812,798,798,Detector participation counts can overlap.
mention,v3_target,Lateral Meniscus,negative,normal_structure,english,target_local_normality,779,769,769,Detector participation counts can overlap.
mention,v3_target,ACL,negative,normal_structure,english,target_local_normality,764,755,755,Detector participation counts can overlap.
mention,v2_exact,MCL,negative,abnormality_absent,english,<no_explicit_rule>,638,631,631,Detector participation counts can overlap.
mention,v3_morphology,Fracture,negative,fracture_absent,english,fracture_en,584,525,525,Detector participation counts can overlap.
mention,v2_exact,Effusion,positive,abnormality,spanish,<no_explicit_rule>,539,282,282,Detector participation counts can overlap.
mention,v3_target,ACL,positive,tear,english,target_local_association,512,288,288,Detector participation counts can overlap.
mention,v2_exact,Fracture,negative,abnormality_absent,english,<no_explicit_rule>,511,487,487,Detector participation counts can overlap.
mention,v2_exact,Baker's,positive,abnormality,english,<no_explicit_rule>,498,335,335,Detector participation counts can overlap.
mention,v2_exact,Synovitis,positive,abnormality,english,<no_explicit_rule>,496,289,289,Detector participation counts can overlap.
mention,v2_exact,PF OA,positive,chondral_abnormality,english,<no_explicit_rule>,485,378,378,Detector participation counts can overlap.
mention,v3_target,Lateral Meniscus,positive,tear,english,target_local_association,473,253,253,Detector participation counts can overlap.
mention,v2_exact,Lateral Meniscus,positive,tear,english,<no_explicit_rule>,465,282,282,Detector participation counts can overlap.
mention,v2_exact,ACL,positive,tear,english,<no_explicit_rule>,460,285,285,Detector participation counts can overlap.
mention,v3_morphology,Effusion,negative,joint_effusion_absent,english,effusion_en_plural,458,423,423,Detector participation counts can overlap.
mention,v3_morphology,Contusion,negative,bone_contusion_absent,english,contusion_en,456,453,453,Detector participation counts can overlap.
mention,v3_target,Medial Meniscus,positive,tear,spanish,target_local_association,445,201,201,Detector participation counts can overlap.
mention,v2_exact,Lateral OA,negative,abnormality_absent,english,<no_explicit_rule>,434,433,433,Detector participation counts can overlap.
mention,v2_exact,Effusion,negative,abnormality_absent,english,<no_explicit_rule>,424,418,418,Detector participation counts can overlap.
mention,v2_exact,Medial Meniscus,negative,abnormality_absent,english,<no_explicit_rule>,414,404,404,Detector participation counts can overlap.
mention,v2_exact,Contusion,negative,abnormality_absent,english,<no_explicit_rule>,410,407,407,Detector participation counts can overlap.
mention,v3_target,Medial OA,positive,chondral_abnormality,english,compartment_scope,402,293,293,Detector participation counts can overlap.
mention,v2_exact,PF OA,negative,abnormality_absent,english,<no_explicit_rule>,395,393,393,Detector participation counts can overlap.
mention,v2_exact,Medial Meniscus,positive,tear,spanish,<no_explicit_rule>,386,205,205,Detector participation counts can overlap.
mention,v3_morphology,Contusion,positive,bone_contusion,english,contusion_en,356,237,237,Detector participation counts can overlap.
mention,v3_target,Medial Meniscus,negative,normal_structure,english,target_local_normality,354,343,343,Detector participation counts can overlap.
mention,v3_morphology,Fracture,positive,fracture,english,fracture_en,350,149,149,Detector participation counts can overlap.
mention,v2_exact,Medial OA,negative,abnormality_absent,english,<no_explicit_rule>,339,339,339,Detector participation counts can overlap.
mention,v3_morphology,Effusion,positive,joint_effusion,turkish,effusion_tr_root,338,328,328,Detector participation counts can overlap.
mention,v3_target,PF OA,negative,normal_cartilage,english,compartment_normality,329,322,322,Detector participation counts can overlap.
mention,v2_collective,Lateral OA,negative,abnormality_absent,spanish,tibiofemoral_compartments,326,164,164,Detector participation counts can overlap.
mention,v2_exact,Baker's,negative,abnormality_absent,english,<no_explicit_rule>,325,317,317,Detector participation counts can overlap.
mention,v2_exact,Effusion,positive,abnormality,south_slavic,<no_explicit_rule>,311,264,264,Detector participation counts can overlap.
mention,v2_exact,Baker's,negative,abnormality_absent,spanish,<no_explicit_rule>,286,264,264,Detector participation counts can overlap.
mention,v3_target,Lateral OA,negative,chondral_abnormality_absent,english,compartment_scope,286,286,286,Detector participation counts can overlap.
mention,v2_exact,Lateral Meniscus,negative,abnormality_absent,turkish,<no_explicit_rule>,285,284,284,Detector participation counts can overlap.
mention,v3_target,Lateral Meniscus,negative,normal_structure,turkish,target_local_normality,285,284,284,Detector participation counts can overlap.
mention,v2_collective,ACL,negative,abnormality_absent,spanish,cruciate_ligaments,272,272,272,Detector participation counts can overlap.
