level,group_size,groups,instances
Report,2,32,64
Report,3,9,27
Report,4,2,8
Report,5,4,20
Report,6,3,18
Report,13,1,13
Report,14,1,14
Report,37,1,37
strict TextView,2,2391,4782
strict TextView,3,683,2049
strict TextView,4,390,1560
strict TextView,5,251,1255
strict TextView,6,197,1182
strict TextView,7,125,875
strict TextView,8,108,864
strict TextView,9,86,774
strict TextView,10,69,690
strict TextView,11,53,583
strict TextView,12,41,492
strict TextView,13,32,416
strict TextView,14,32,448
strict TextView,15,24,360
strict TextView,16,39,624
strict TextView,17,20,340
strict TextView,18,21,378
strict TextView,19,19,361
strict TextView,20,8,160
strict TextView,21,14,294
strict TextView,22,19,418
strict TextView,23,17,391
strict TextView,24,9,216
strict TextView,25,10,250
strict TextView,26,16,416
strict TextView,27,6,162
strict TextView,28,14,392
strict TextView,29,7,203
strict TextView,30,3,90
strict TextView,31,13,403
strict TextView,32,9,288
strict TextView,33,9,297
strict TextView,34,7,238
strict TextView,35,6,210
strict TextView,36,7,252
strict TextView,37,7,259
strict TextView,38,8,304
strict TextView,39,5,195
strict TextView,40,1,40
strict TextView,41,4,164
strict TextView,42,4,168
strict TextView,43,8,344
strict TextView,44,4,176
strict TextView,45,2,90
strict TextView,47,3,141
strict TextView,48,4,192
strict TextView,49,2,98
strict TextView,50,5,250
strict TextView,51,3,153
strict TextView,52,3,156
strict TextView,53,2,106
strict TextView,54,2,108
strict TextView,55,5,275
strict TextView,56,1,56
strict TextView,57,2,114
strict TextView,58,5,290
strict TextView,59,2,118
strict TextView,61,1,61
strict TextView,62,1,62
strict TextView,63,6,378
strict TextView,65,3,195
strict TextView,67,1,67
strict TextView,68,1,68
strict TextView,69,2,138
strict TextView,70,1,70
strict TextView,72,4,288
strict TextView,73,1,73
strict TextView,74,3,222
strict TextView,75,1,75
strict TextView,76,1,76
strict TextView,77,3,231
strict TextView,78,1,78
strict TextView,80,3,240
strict TextView,81,2,162
strict TextView,82,1,82
strict TextView,83,2,166
strict TextView,84,3,252
strict TextView,85,1,85
strict TextView,87,1,87
strict TextView,90,1,90
strict TextView,95,1,95
strict TextView,96,1,96
strict TextView,101,1,101
strict TextView,105,1,105
strict TextView,106,1,106
strict TextView,108,1,108
strict TextView,111,1,111
strict TextView,112,1,112
strict TextView,116,1,116
strict TextView,117,1,117
strict TextView,118,1,118
strict TextView,119,1,119
strict TextView,121,1,121
strict TextView,123,1,123
strict TextView,126,1,126
strict TextView,129,1,129
strict TextView,131,2,262
strict TextView,137,1,137
strict TextView,142,1,142
strict TextView,143,1,143
