target,status,raw_evidence_count,unique_normalized_evidence_count,unique_report_count,unique_exact_template_family_count,unique_numeric_normalized_template_family_count,detector_rule_combination_count,detector_rule_combinations,language_group_count,language_groups,note
ACL,negative,3084,469,2077,2054,2054,6,"[""v2_collective::cruciate_and_collateral_ligaments"", ""v2_collective::cruciate_ligaments"", ""v2_exact::<no_explicit_rule>"", ""v2_exact::target_local_association"", ""v3_target::target_local_association"", ""v3_target::target_local_normality""]",10,"[""cyrillic_script"", ""dutch"", ""english"", ""french"", ""german"", ""greek_script"", ""latin_other"", ""south_slavic"", ""spanish"", ""turkish""]",No effective sample size is estimated; columns are structural counts.
ACL,positive,1415,1044,963,962,962,3,"[""v2_exact::<no_explicit_rule>"", ""v2_exact::target_local_association"", ""v3_target::target_local_association""]",10,"[""cyrillic_script"", ""dutch"", ""english"", ""french"", ""german"", ""greek_script"", ""latin_other"", ""south_slavic"", ""spanish"", ""turkish""]",No effective sample size is estimated; columns are structural counts.
ACL,uncertain,62,62,50,50,50,2,"[""v2_exact::target_local_association"", ""v3_target::target_local_association""]",6,"[""dutch"", ""english"", ""french"", ""south_slavic"", ""spanish"", ""turkish""]",No effective sample size is estimated; columns are structural counts.
Baker's,negative,1133,118,841,835,835,4,"[""v2_exact::<no_explicit_rule>"", ""v3_morphology::baker_nl"", ""v3_morphology::baker_sl"", ""v3_morphology::baker_variants""]",7,"[""dutch"", ""english"", ""french"", ""german"", ""latin_other"", ""south_slavic"", ""spanish""]",No effective sample size is estimated; columns are structural counts.
Baker's,positive,1754,897,989,987,987,5,"[""v2_exact::<no_explicit_rule>"", ""v3_morphology::baker_el"", ""v3_morphology::baker_nl"", ""v3_morphology::baker_sl"", ""v3_morphology::baker_variants""]",10,"[""cyrillic_script"", ""dutch"", ""english"", ""french"", ""german"", ""greek_script"", ""latin_other"", ""south_slavic"", ""spanish"", ""turkish""]",No effective sample size is estimated; columns are structural counts.
Baker's,uncertain,16,12,9,9,9,3,"[""v2_exact::<no_explicit_rule>"", ""v3_morphology::baker_sl"", ""v3_morphology::baker_variants""]",3,"[""english"", ""south_slavic"", ""spanish""]",No effective sample size is estimated; columns are structural counts.
Contusion,negative,894,36,448,443,443,2,"[""v2_exact::<no_explicit_rule>"", ""v3_morphology::contusion_en""]",3,"[""english"", ""french"", ""german""]",No effective sample size is estimated; columns are structural counts.
Contusion,positive,648,473,359,359,359,6,"[""v2_exact::<no_explicit_rule>"", ""v3_morphology::contusion_cyr"", ""v3_morphology::contusion_el"", ""v3_morphology::contusion_en"", ""v3_morphology::contusion_sl"", ""v3_morphology::contusion_tr""]",9,"[""cyrillic_script"", ""dutch"", ""english"", ""french"", ""german"", ""greek_script"", ""south_slavic"", ""spanish"", ""turkish""]",No effective sample size is estimated; columns are structural counts.
Contusion,uncertain,25,17,14,14,14,4,"[""v2_exact::<no_explicit_rule>"", ""v3_morphology::contusion_en"", ""v3_morphology::contusion_sl"", ""v3_morphology::contusion_tr""]",3,"[""english"", ""south_slavic"", ""turkish""]",No effective sample size is estimated; columns are structural counts.
Effusion,negative,1594,183,977,956,956,5,"[""v2_exact::<no_explicit_rule>"", ""v3_morphology::effusion_de_root"", ""v3_morphology::effusion_el_root"", ""v3_morphology::effusion_en_plural"", ""v3_morphology::effusion_tr_root""]",9,"[""cyrillic_script"", ""dutch"", ""english"", ""german"", ""greek_script"", ""latin_other"", ""south_slavic"", ""spanish"", ""turkish""]",No effective sample size is estimated; columns are structural counts.
Effusion,positive,4252,1530,2550,2504,2504,5,"[""v2_exact::<no_explicit_rule>"", ""v3_morphology::effusion_de_root"", ""v3_morphology::effusion_el_root"", ""v3_morphology::effusion_en_plural"", ""v3_morphology::effusion_tr_root""]",10,"[""cyrillic_script"", ""dutch"", ""english"", ""french"", ""german"", ""greek_script"", ""latin_other"", ""south_slavic"", ""spanish"", ""turkish""]",No effective sample size is estimated; columns are structural counts.
Effusion,uncertain,8,6,6,6,6,2,"[""v2_exact::<no_explicit_rule>"", ""v3_morphology::effusion_en_plural""]",3,"[""dutch"", ""english"", ""south_slavic""]",No effective sample size is estimated; columns are structural counts.
Fracture,negative,1153,117,585,579,579,7,"[""v2_exact::<no_explicit_rule>"", ""v3_morphology::fracture_cyr"", ""v3_morphology::fracture_de"", ""v3_morphology::fracture_el"", ""v3_morphology::fracture_en"", ""v3_morphology::fracture_fr"", ""v3_morphology::fracture_sl""]",9,"[""cyrillic_script"", ""dutch"", ""english"", ""french"", ""german"", ""greek_script"", ""latin_other"", ""south_slavic"", ""spanish""]",No effective sample size is estimated; columns are structural counts.
Fracture,positive,393,388,249,249,249,15,"[""v2_exact::<no_explicit_rule>"", ""v2_exact::fracture_cyr"", ""v2_exact::fracture_de"", ""v2_exact::fracture_el"", ""v2_exact::fracture_en"", ""v2_exact::fracture_fr"", ""v2_exact::fracture_sl"", ""v2_exact::fracture_tr"", ""v3_morphology::fracture_cyr"", ""v3_morphology::fracture_de"", ""v3_morphology::fracture_el"", ""v3_morphology::fracture_en"", ""v3_morphology::fracture_fr"", ""v3_morphology::fracture_sl"", ""v3_morphology::fracture_tr""]",10,"[""cyrillic_script"", ""dutch"", ""english"", ""french"", ""german"", ""greek_script"", ""latin_other"", ""south_slavic"", ""spanish"", ""turkish""]",No effective sample size is estimated; columns are structural counts.
Fracture,uncertain,48,40,40,40,40,7,"[""v2_exact::<no_explicit_rule>"", ""v2_exact::fracture_en"", ""v2_exact::fracture_sl"", ""v2_exact::fracture_tr"", ""v3_morphology::fracture_en"", ""v3_morphology::fracture_sl"", ""v3_morphology::fracture_tr""]",5,"[""dutch"", ""english"", ""south_slavic"", ""spanish"", ""turkish""]",No effective sample size is estimated; columns are structural counts.
Lateral Meniscus,negative,3583,480,2191,2135,2135,9,"[""v2_collective::both_menisci"", ""v2_collective::both_menisci_negative_only"", ""v2_collective::target_local_association"", ""v2_exact::<no_explicit_rule>"", ""v2_exact::target_local_association"", ""v3_target::both_menisci"", ""v3_target::both_menisci_negative_only"", ""v3_target::target_local_association"", ""v3_target::target_local_normality""]",10,"[""cyrillic_script"", ""dutch"", ""english"", ""french"", ""german"", ""greek_script"", ""latin_other"", ""south_slavic"", ""spanish"", ""turkish""]",No effective sample size is estimated; columns are structural counts.
Lateral Meniscus,positive,1401,1189,952,952,952,6,"[""v2_collective::both_menisci"", ""v2_collective::target_local_association"", ""v2_exact::<no_explicit_rule>"", ""v2_exact::target_local_association"", ""v3_target::both_menisci"", ""v3_target::target_local_association""]",10,"[""cyrillic_script"", ""dutch"", ""english"", ""french"", ""german"", ""greek_script"", ""latin_other"", ""south_slavic"", ""spanish"", ""turkish""]",No effective sample size is estimated; columns are structural counts.
Lateral Meniscus,uncertain,84,66,64,64,64,2,"[""v2_exact::target_local_association"", ""v3_target::target_local_association""]",6,"[""dutch"", ""english"", ""german"", ""south_slavic"", ""spanish"", ""turkish""]",No effective sample size is estimated; columns are structural counts.
Lateral OA,negative,1144,120,680,670,670,4,"[""v2_collective::tibiofemoral_compartments"", ""v2_exact::<no_explicit_rule>"", ""v3_target::compartment_normality"", ""v3_target::compartment_scope""]",9,"[""cyrillic_script"", ""dutch"", ""english"", ""french"", ""german"", ""greek_script"", ""latin_other"", ""south_slavic"", ""spanish""]",No effective sample size is estimated; columns are structural counts.
Lateral OA,positive,594,496,438,438,438,9,"[""v2_collective::compartment_scope"", ""v2_collective::lateral_and_patellofemoral_compartments"", ""v2_collective::tibiofemoral_compartments"", ""v2_exact::<no_explicit_rule>"", ""v2_exact::compartment_scope"", ""v2_exact::lateral_and_patellofemoral_compartments"", ""v2_exact::tibiofemoral_compartments"", ""v3_target::compartment_scope"", ""v3_target::lateral_and_patellofemoral_compartments""]",10,"[""cyrillic_script"", ""dutch"", ""english"", ""french"", ""german"", ""greek_script"", ""latin_other"", ""south_slavic"", ""spanish"", ""turkish""]",No effective sample size is estimated; columns are structural counts.
MCL,negative,3728,577,2620,2558,2558,6,"[""v2_collective::collateral_ligaments"", ""v2_collective::cruciate_and_collateral_ligaments"", ""v2_exact::<no_explicit_rule>"", ""v2_exact::target_local_association"", ""v3_target::target_local_association"", ""v3_target::target_local_normality""]",10,"[""cyrillic_script"", ""dutch"", ""english"", ""french"", ""german"", ""greek_script"", ""latin_other"", ""south_slavic"", ""spanish"", ""turkish""]",No effective sample size is estimated; columns are structural counts.
MCL,positive,645,493,447,441,441,3,"[""v2_exact::<no_explicit_rule>"", ""v2_exact::target_local_association"", ""v3_target::target_local_association""]",9,"[""dutch"", ""english"", ""french"", ""german"", ""greek_script"", ""latin_other"", ""south_slavic"", ""spanish"", ""turkish""]",No effective sample size is estimated; columns are structural counts.
MCL,uncertain,23,20,18,18,18,2,"[""v2_exact::target_local_association"", ""v3_target::target_local_association""]",4,"[""english"", ""german"", ""south_slavic"", ""spanish""]",No effective sample size is estimated; columns are structural counts.
Medial Meniscus,negative,1776,374,1283,1220,1220,6,"[""v2_collective::both_menisci"", ""v2_collective::both_menisci_negative_only"", ""v2_exact::<no_explicit_rule>"", ""v2_exact::target_local_association"", ""v3_target::target_local_association"", ""v3_target::target_local_normality""]",10,"[""cyrillic_script"", ""dutch"", ""english"", ""french"", ""german"", ""greek_script"", ""latin_other"", ""south_slavic"", ""spanish"", ""turkish""]",No effective sample size is estimated; columns are structural counts.
Medial Meniscus,positive,3123,2476,2008,1993,1993,4,"[""v2_collective::both_menisci"", ""v2_exact::<no_explicit_rule>"", ""v2_exact::target_local_association"", ""v3_target::target_local_association""]",10,"[""cyrillic_script"", ""dutch"", ""english"", ""french"", ""german"", ""greek_script"", ""latin_other"", ""south_slavic"", ""spanish"", ""turkish""]",No effective sample size is estimated; columns are structural counts.
Medial Meniscus,uncertain,91,82,74,74,74,4,"[""v2_collective::both_menisci"", ""v2_exact::<no_explicit_rule>"", ""v2_exact::target_local_association"", ""v3_target::target_local_association""]",7,"[""dutch"", ""english"", ""french"", ""german"", ""south_slavic"", ""spanish"", ""turkish""]",No effective sample size is estimated; columns are structural counts.
Medial OA,negative,945,96,589,579,579,4,"[""v2_collective::tibiofemoral_compartments"", ""v2_exact::<no_explicit_rule>"", ""v3_target::compartment_normality"", ""v3_target::compartment_scope""]",9,"[""cyrillic_script"", ""dutch"", ""english"", ""french"", ""german"", ""greek_script"", ""latin_other"", ""south_slavic"", ""spanish""]",No effective sample size is estimated; columns are structural counts.
Medial OA,positive,915,775,662,662,662,6,"[""v2_collective::compartment_scope"", ""v2_collective::tibiofemoral_compartments"", ""v2_exact::<no_explicit_rule>"", ""v2_exact::compartment_scope"", ""v3_target::compartment_scope"", ""v3_target::tibiofemoral_compartments""]",10,"[""cyrillic_script"", ""dutch"", ""english"", ""french"", ""german"", ""greek_script"", ""latin_other"", ""south_slavic"", ""spanish"", ""turkish""]",No effective sample size is estimated; columns are structural counts.
Medial OA,uncertain,1,1,1,1,1,1,"[""v3_target::compartment_scope""]",1,"[""english""]",No effective sample size is estimated; columns are structural counts.
