target,status,evidence_instances,unique_normalized_evidence,proportion_duplicated_excess,detectors,phenotypes,rules,languages
ACL,negative,3084,469,0.8479247730220493,"[""v2_collective"", ""v2_exact"", ""v3_target""]","[""abnormality_absent"", ""normal_structure""]","[""cruciate_and_collateral_ligaments"", ""cruciate_ligaments"", ""target_local_association"", ""target_local_normality""]","[""cyrillic_script"", ""dutch"", ""english"", ""french"", ""german"", ""greek_script"", ""latin_other"", ""south_slavic"", ""spanish"", ""turkish""]"
ACL,positive,1415,1044,0.26219081272084804,"[""v2_exact"", ""v3_target""]","[""abnormality"", ""avulsion"", ""degeneration"", ""sprain"", ""tear""]","[""target_local_association""]","[""cyrillic_script"", ""dutch"", ""english"", ""french"", ""german"", ""greek_script"", ""latin_other"", ""south_slavic"", ""spanish"", ""turkish""]"
ACL,uncertain,62,62,0.0,"[""v2_exact"", ""v3_target""]","[""abnormality"", ""degeneration"", ""sprain"", ""tear""]","[""target_local_association""]","[""dutch"", ""english"", ""french"", ""south_slavic"", ""spanish"", ""turkish""]"
Baker's,negative,1133,118,0.8958517210944396,"[""v2_exact"", ""v3_morphology""]","[""abnormality_absent"", ""baker_cyst_absent""]","[""baker_nl"", ""baker_sl"", ""baker_variants""]","[""dutch"", ""english"", ""french"", ""german"", ""latin_other"", ""south_slavic"", ""spanish""]"
Baker's,positive,1754,897,0.4885974914481186,"[""v2_exact"", ""v3_morphology""]","[""abnormality"", ""baker_cyst"", ""chondral_abnormality"", ""degeneration"", ""tear""]","[""baker_el"", ""baker_nl"", ""baker_sl"", ""baker_variants""]","[""cyrillic_script"", ""dutch"", ""english"", ""french"", ""german"", ""greek_script"", ""latin_other"", ""south_slavic"", ""spanish"", ""turkish""]"
Baker's,uncertain,16,12,0.25,"[""v2_exact"", ""v3_morphology""]","[""abnormality"", ""baker_cyst"", ""tear""]","[""baker_sl"", ""baker_variants""]","[""english"", ""south_slavic"", ""spanish""]"
Contusion,negative,894,36,0.959731543624161,"[""v2_exact"", ""v3_morphology""]","[""abnormality_absent"", ""bone_contusion_absent""]","[""contusion_en""]","[""english"", ""french"", ""german""]"
Contusion,positive,648,473,0.2700617283950617,"[""v2_exact"", ""v3_morphology""]","[""abnormality"", ""bone_contusion"", ""chondral_abnormality"", ""degeneration"", ""fracture"", ""sprain"", ""tear""]","[""contusion_cyr"", ""contusion_el"", ""contusion_en"", ""contusion_sl"", ""contusion_tr""]","[""cyrillic_script"", ""dutch"", ""english"", ""french"", ""german"", ""greek_script"", ""south_slavic"", ""spanish"", ""turkish""]"
Contusion,uncertain,25,17,0.32,"[""v2_exact"", ""v3_morphology""]","[""abnormality"", ""bone_contusion"", ""fracture""]","[""contusion_en"", ""contusion_sl"", ""contusion_tr""]","[""english"", ""south_slavic"", ""turkish""]"
Effusion,negative,1594,183,0.8851944792973652,"[""v2_exact"", ""v3_morphology""]","[""abnormality_absent"", ""joint_effusion_absent""]","[""effusion_de_root"", ""effusion_el_root"", ""effusion_en_plural"", ""effusion_tr_root""]","[""cyrillic_script"", ""dutch"", ""english"", ""german"", ""greek_script"", ""latin_other"", ""south_slavic"", ""spanish"", ""turkish""]"
Effusion,positive,4252,1530,0.6401693320790216,"[""v2_exact"", ""v3_morphology""]","[""abnormality"", ""chondral_abnormality"", ""degeneration"", ""extrusion"", ""fracture"", ""joint_effusion"", ""tear""]","[""effusion_de_root"", ""effusion_el_root"", ""effusion_en_plural"", ""effusion_tr_root""]","[""cyrillic_script"", ""dutch"", ""english"", ""french"", ""german"", ""greek_script"", ""latin_other"", ""south_slavic"", ""spanish"", ""turkish""]"
Effusion,uncertain,8,6,0.25,"[""v2_exact"", ""v3_morphology""]","[""abnormality"", ""chondral_abnormality"", ""fracture"", ""joint_effusion""]","[""effusion_en_plural""]","[""dutch"", ""english"", ""south_slavic""]"
Fracture,negative,1153,117,0.8985255854293148,"[""v2_exact"", ""v3_morphology""]","[""abnormality_absent"", ""fracture_absent""]","[""fracture_cyr"", ""fracture_de"", ""fracture_el"", ""fracture_en"", ""fracture_fr"", ""fracture_sl""]","[""cyrillic_script"", ""dutch"", ""english"", ""french"", ""german"", ""greek_script"", ""latin_other"", ""south_slavic"", ""spanish""]"
Fracture,positive,393,388,0.01272264631043257,"[""v2_exact"", ""v3_morphology""]","[""abnormality"", ""avulsion"", ""chondral_abnormality"", ""fracture""]","[""fracture_cyr"", ""fracture_de"", ""fracture_el"", ""fracture_en"", ""fracture_fr"", ""fracture_sl"", ""fracture_tr""]","[""cyrillic_script"", ""dutch"", ""english"", ""french"", ""german"", ""greek_script"", ""latin_other"", ""south_slavic"", ""spanish"", ""turkish""]"
Fracture,uncertain,48,40,0.16666666666666666,"[""v2_exact"", ""v3_morphology""]","[""chondral_abnormality"", ""fracture""]","[""fracture_en"", ""fracture_sl"", ""fracture_tr""]","[""dutch"", ""english"", ""south_slavic"", ""spanish"", ""turkish""]"
Lateral Meniscus,negative,3583,480,0.86603404967904,"[""v2_collective"", ""v2_exact"", ""v3_target""]","[""abnormality_absent"", ""normal_structure""]","[""both_menisci"", ""both_menisci_negative_only"", ""target_local_association"", ""target_local_normality""]","[""cyrillic_script"", ""dutch"", ""english"", ""french"", ""german"", ""greek_script"", ""latin_other"", ""south_slavic"", ""spanish"", ""turkish""]"
Lateral Meniscus,positive,1401,1189,0.15132048536759457,"[""v2_collective"", ""v2_exact"", ""v3_target""]","[""abnormality"", ""avulsion"", ""chondral_abnormality"", ""degeneration"", ""extrusion"", ""sprain"", ""tear""]","[""both_menisci"", ""target_local_association""]","[""cyrillic_script"", ""dutch"", ""english"", ""french"", ""german"", ""greek_script"", ""latin_other"", ""south_slavic"", ""spanish"", ""turkish""]"
