language_group,reports,study_target_pairs,positive,negative,uncertain,unknown,binary_resolved,resolved_rate,strict_views,linked_views,mentions,propositions
cyrillic_script,220,2640,438,522,0,1680,960,0.36363636363636365,4249,12,1905,1529
dutch,153,1836,378,414,8,1036,792,0.43137254901960786,1850,2,1481,1189
english,1724,20688,4797,6694,177,9020,11491,0.5554427687548337,42588,1447,27883,22795
french,80,960,260,254,2,444,514,0.5354166666666667,1701,114,1186,923
german,259,3108,437,722,10,1939,1159,0.3729086229086229,3895,13,1973,1837
greek_script,321,3852,828,401,0,2623,1229,0.31905503634475596,3145,96,2395,1964
latin_other,22,264,43,83,0,138,126,0.4772727272727273,305,15,214,166
south_slavic,403,4836,1183,1073,69,2511,2256,0.4665012406947891,6540,188,3708,3015
spanish,678,8136,1261,2021,17,4837,3282,0.4033923303834808,8925,691,6889,4411
turkish,547,6564,1493,992,11,4068,2485,0.3785801340645948,6583,0,4970,3982
