language_group,target,pairs,positive,negative,uncertain,unknown,binary_resolved,resolved_rate
cyrillic_script,ACL,220,37,150,0,33,187,0.85
cyrillic_script,Baker's,220,53,0,0,167,53,0.2409090909090909
cyrillic_script,Contusion,220,19,0,0,201,19,0.08636363636363636
cyrillic_script,Effusion,220,134,75,0,11,209,0.95
cyrillic_script,Fracture,220,13,9,0,198,22,0.1
cyrillic_script,Lateral Meniscus,220,24,96,0,100,120,0.5454545454545454
cyrillic_script,Lateral OA,220,1,3,0,216,4,0.01818181818181818
cyrillic_script,MCL,220,0,118,0,102,118,0.5363636363636364
cyrillic_script,Medial Meniscus,220,142,20,0,58,162,0.7363636363636363
cyrillic_script,Medial OA,220,4,1,0,215,5,0.022727272727272728
cyrillic_script,PF OA,220,10,50,0,160,60,0.2727272727272727
cyrillic_script,Synovitis,220,1,0,0,219,1,0.004545454545454545
dutch,ACL,153,25,98,1,29,123,0.803921568627451
dutch,Baker's,153,54,1,0,98,55,0.35947712418300654
dutch,Contusion,153,5,0,0,148,5,0.032679738562091505
dutch,Effusion,153,91,20,1,41,111,0.7254901960784313
dutch,Fracture,153,4,8,1,140,12,0.0784313725490196
dutch,Lateral Meniscus,153,18,84,2,49,102,0.6666666666666666
dutch,Lateral OA,153,12,28,0,113,40,0.26143790849673204
dutch,MCL,153,4,64,0,85,68,0.4444444444444444
dutch,Medial Meniscus,153,60,62,1,30,122,0.7973856209150327
dutch,Medial OA,153,35,26,0,92,61,0.39869281045751637
dutch,PF OA,153,64,23,2,64,87,0.5686274509803921
dutch,Synovitis,153,6,0,0,147,6,0.0392156862745098
english,ACL,1724,429,1024,14,257,1453,0.8428074245939675
english,Baker's,1724,393,317,3,1011,710,0.41183294663573083
english,Contusion,1724,168,406,11,1139,574,0.3329466357308585
english,Effusion,1724,1024,413,3,284,1437,0.8335266821345708
english,Fracture,1724,95,478,31,1120,573,0.3323665893271462
english,Lateral Meniscus,1724,339,988,49,348,1327,0.7697215777262181
