target,status,evidence_instances,unique_normalized_texts,duplicated_instances_excess,duplicate_rate_excess,total_simple_tokens,unique_tokens,type_token_ratio,ttr_note,unigram_top_10_coverage,unigram_top_10_actual_n,unigram_top_25_coverage,unigram_top_25_actual_n,unigram_top_50_coverage,unigram_top_50_actual_n,unigram_top_100_coverage,unigram_top_100_actual_n,bigram_top_10_coverage,bigram_top_10_actual_n,bigram_top_25_coverage,bigram_top_25_actual_n,bigram_top_50_coverage,bigram_top_50_actual_n,bigram_top_100_coverage,bigram_top_100_actual_n
ACL,negative,3084,469,2615,0.8479247730220493,27796,756,0.027198158008346525,Type-token ratio depends on the number of observed tokens.,0.3806303065189236,10,0.5681033242193121,25,0.6942725572024752,50,0.8394373291121024,100,0.2626254451278731,10,0.4598575590806086,25,0.5651100679831661,50,0.7205810942052444,100
ACL,positive,1415,1044,371,0.26219081272084804,16270,1736,0.10669944683466502,Type-token ratio depends on the number of observed tokens.,0.25347264904732636,10,0.38248309772587585,25,0.5046097111247695,50,0.6392747387830363,100,0.1452709525412319,10,0.23554358801750253,25,0.32722988892628746,50,0.4360148098283406,100
ACL,uncertain,62,62,0,0.0,1001,300,0.2997002997002997,Type-token ratio depends on the number of observed tokens.,0.23276723276723277,10,0.3966033966033966,25,0.5484515484515484,50,0.7422577422577422,100,0.15228966986155484,10,0.26517571884984026,25,0.3801916932907348,50,0.5154419595314164,100
Baker's,negative,1133,118,1015,0.8958517210944396,6087,202,0.03318547724659109,Type-token ratio depends on the number of observed tokens.,0.6006242812551339,10,0.8375225891243634,25,0.9433218334154756,50,0.9806144241826844,100,0.5076705692369802,10,0.7196205086798546,25,0.855470327008478,50,0.9380298748486072,100
Baker's,positive,1754,897,857,0.4885974914481186,15778,1507,0.09551273925719356,Type-token ratio depends on the number of observed tokens.,0.27620737736088224,10,0.4034731905184434,25,0.5292812777284827,50,0.669793383191786,100,0.17170564746149458,10,0.2472903593839133,25,0.3387050770108386,50,0.4530091272104963,100
Baker's,uncertain,16,12,4,0.25,140,49,0.35,Type-token ratio depends on the number of observed tokens.,0.5428571428571428,10,0.7857142857142857,25,1.0,49,1.0,49,0.5,10,0.7419354838709677,25,0.9838709677419355,50,1.0,52
Contusion,negative,894,36,858,0.959731543624161,5922,117,0.019756838905775075,Type-token ratio depends on the number of observed tokens.,0.8544410672070246,10,0.9496791624451199,25,0.980580884836204,50,0.997129348193178,100,0.7770485282418457,10,0.914280031821798,25,0.9610182975338106,50,0.9813046937151949,100
Contusion,positive,648,473,175,0.2700617283950617,9812,1251,0.12749694251936405,Type-token ratio depends on the number of observed tokens.,0.25856094578067673,10,0.4117407256420709,25,0.5196697920913168,50,0.641459437423563,100,0.1340026189436927,10,0.21584460934089916,25,0.2928852029681362,50,0.39109559144478395,100
Contusion,uncertain,25,17,8,0.32,355,116,0.3267605633802817,Type-token ratio depends on the number of observed tokens.,0.35774647887323946,10,0.5577464788732395,25,0.7633802816901408,50,0.9549295774647887,100,0.22121212121212122,10,0.396969696969697,25,0.5606060606060606,50,0.8242424242424242,100
Effusion,negative,1594,183,1411,0.8851944792973652,8845,323,0.03651780667043528,Type-token ratio depends on the number of observed tokens.,0.5052572074618429,10,0.7355568117580554,25,0.8829847371396269,50,0.9537591859807801,100,0.3908426423941525,10,0.6434974486277755,25,0.8073369190456489,50,0.8997379671769411,100
