target,status,ngram_order,rank,ngram,count,share,cumulative_share,total_ngram_occurrences
ACL,negative,1,1,cruciate,1694,0.0609440207224061,0.0609440207224061,27796
ACL,negative,1,2,acl,1451,0.05220175564829472,0.11314577637070082,27796
ACL,negative,1,3,normal,1368,0.049215714491293715,0.16236149086199453,27796
ACL,negative,1,4,ligament,1161,0.04176859979853216,0.2041300906605267,27796
ACL,negative,1,5,intact,1052,0.03784717225500072,0.2419772629155274,27796
ACL,negative,1,6,anterior,930,0.03345805151820406,0.2754353144337315,27796
ACL,negative,1,7,and,861,0.03097567995395021,0.30641099438768166,27796
ACL,negative,1,8,ligaments,802,0.028853072384515756,0.33526406677219744,27796
ACL,negative,1,9,pcl,636,0.022880990070513745,0.3581450568427112,27796
ACL,negative,1,10,with,625,0.022485249676212404,0.3806303065189236,27796
ACL,negative,1,11,both,556,0.020002878111958555,0.40063318463088216,27796
ACL,negative,1,12,bundles,552,0.019858972514030796,0.42049215714491295,27796
ACL,negative,1,13,lcl,540,0.01942725572024752,0.43991941286516045,27796
ACL,negative,1,14,mcl,516,0.01856382213268096,0.45848323499784144,27796
ACL,negative,1,15,the,392,0.01410274859692042,0.47258598359476184,27796
ACL,negative,1,16,i,354,0.012735645416606706,0.48532162901136855,27796
ACL,negative,1,17,y,292,0.010505108648726436,0.495826737660095,27796
ACL,negative,1,18,ligamentos,284,0.010217297452870916,0.5060440351129659,27796
ACL,negative,1,19,cruzados,276,0.009929486257015398,0.5159735213699813,27796
ACL,negative,1,20,signala,263,0.00946179306375018,0.5254353144337315,27796
ACL,negative,1,21,de,259,0.009317887465822421,0.5347532018995539,27796
ACL,negative,1,22,colaterales,248,0.008922147071521083,0.543675348971075,27796
ACL,negative,1,23,is,238,0.008562383076701683,0.5522377320477767,27796
ACL,negative,1,24,posterior,225,0.008094689883436465,0.5603324219312131,27796
ACL,negative,1,25,dentro,216,0.007770902288099007,0.5681033242193121,27796
ACL,negative,1,26,limites,216,0.007770902288099007,0.5758742265074112,27796
ACL,negative,1,27,normales,216,0.007770902288099007,0.5836451287955101,27796
ACL,negative,1,28,prednji,183,0.006583681105194992,0.5902288099007051,27796
ACL,negative,1,29,krizni,183,0.006583681105194992,0.5968124910059002,27796
ACL,negative,1,30,ligamenta,176,0.006331846308821413,0.6031443373147215,27796
ACL,negative,1,31,se,171,0.006151964311411714,0.6092963016261332,27796
ACL,negative,1,32,capraz,167,0.006008058713483954,0.6153043603396172,27796
ACL,negative,1,33,kreuzbander,164,0.005900129515038135,0.6212044898546554,27796
ACL,negative,1,34,of,163,0.005864153115556195,0.6270686429702116,27796
ACL,negative,1,35,bag,162,0.0058281767160742555,0.6328968196862857,27796
ACL,negative,1,36,no,139,0.005000719527989639,0.6378975392142754,27796
ACL,negative,1,37,signal,138,0.004964743128507699,0.6428622823427831,27796
ACL,negative,1,38,intercondylar,133,0.004784861131098,0.6476471434738811,27796
ACL,negative,1,39,και,130,0.00467693193265218,0.6523240754065334,27796
ACL,negative,1,40,lateral,121,0.004353144337314722,0.6566772197438481,27796
ACL,negative,1,41,noted,119,0.0042811915383508415,0.6609584112821989,27796
ACL,negative,1,42,връзки,112,0.004029356741977263,0.6649877680241761,27796
ACL,negative,1,43,are,109,0.003921427543531444,0.6689091955677076,27796
ACL,negative,1,44,contour,104,0.003741545546121744,0.6726507411138293,27796
ACL,negative,1,45,prednjeg,103,0.003705569146639804,0.6763563102604692,27796
ACL,negative,1,46,kriznog,103,0.003705569146639804,0.6800618794071089,27796
ACL,negative,1,47,within,100,0.003597639948193985,0.6836595193553029,27796
ACL,negative,1,48,intenziteti,99,0.003561663548712045,0.687221182904015,27796
ACL,negative,1,49,morfologija,98,0.003525687149230105,0.6907468700532451,27796
ACL,negative,1,50,iliotibijalnog,98,0.003525687149230105,0.6942725572024752,27796
ACL,negative,1,51,traktusa,98,0.003525687149230105,0.6977982443517052,27796
