phenotype,propositions,unique_studies,selected_pair_participations,selected_winning_pair_participations,targets,statuses,detectors,languages,rules
abnormality_absent,13031,3515,12396,12213,"[""ACL"", ""Baker's"", ""Contusion"", ""Effusion"", ""Fracture"", ""Lateral Meniscus"", ""Lateral OA"", ""MCL"", ""Medial Meniscus"", ""Medial OA"", ""PF OA"", ""Synovitis""]","[""negative""]","[""v2_collective"", ""v2_exact"", ""v3_target""]","[""cyrillic_script"", ""dutch"", ""english"", ""french"", ""german"", ""greek_script"", ""latin_other"", ""south_slavic"", ""spanish"", ""turkish""]","[""both_menisci"", ""both_menisci_negative_only"", ""collateral_ligaments"", ""cruciate_and_collateral_ligaments"", ""cruciate_ligaments"", ""target_local_association"", ""tibiofemoral_compartments""]"
abnormality,6302,2896,4018,4011,"[""ACL"", ""Baker's"", ""Contusion"", ""Effusion"", ""Fracture"", ""Lateral Meniscus"", ""Lateral OA"", ""MCL"", ""Medial Meniscus"", ""Medial OA"", ""PF OA"", ""Synovitis""]","[""positive"", ""uncertain""]","[""v2_collective"", ""v2_exact"", ""v3_target""]","[""cyrillic_script"", ""dutch"", ""english"", ""french"", ""german"", ""greek_script"", ""latin_other"", ""south_slavic"", ""spanish"", ""turkish""]","[""target_local_association"", ""tibiofemoral_compartments""]"
tear,4757,2080,2951,2939,"[""ACL"", ""Baker's"", ""Contusion"", ""Effusion"", ""Lateral Meniscus"", ""Lateral OA"", ""MCL"", ""Medial Meniscus"", ""Medial OA"", ""PF OA"", ""Synovitis""]","[""positive"", ""uncertain""]","[""v2_collective"", ""v2_exact"", ""v3_morphology"", ""v3_target""]","[""cyrillic_script"", ""dutch"", ""english"", ""french"", ""german"", ""greek_script"", ""latin_other"", ""south_slavic"", ""spanish"", ""turkish""]","[""both_menisci"", ""compartment_scope"", ""effusion_tr_root"", ""lateral_and_patellofemoral_compartments"", ""target_local_association"", ""tibiofemoral_compartments""]"
normal_structure,4496,2274,4444,4357,"[""ACL"", ""Lateral Meniscus"", ""MCL"", ""Medial Meniscus""]","[""negative""]","[""v3_target""]","[""cyrillic_script"", ""dutch"", ""english"", ""french"", ""german"", ""greek_script"", ""latin_other"", ""south_slavic"", ""spanish"", ""turkish""]","[""target_local_normality""]"
chondral_abnormality,2894,1375,2064,2064,"[""Baker's"", ""Contusion"", ""Effusion"", ""Fracture"", ""Lateral Meniscus"", ""Lateral OA"", ""MCL"", ""Medial Meniscus"", ""Medial OA"", ""PF OA"", ""Synovitis""]","[""positive"", ""uncertain""]","[""v2_collective"", ""v2_exact"", ""v3_target""]","[""cyrillic_script"", ""dutch"", ""english"", ""french"", ""german"", ""greek_script"", ""latin_other"", ""south_slavic"", ""spanish"", ""turkish""]","[""compartment_scope"", ""lateral_and_patellofemoral_compartments"", ""tibiofemoral_compartments""]"
joint_effusion,1998,1553,1549,1549,"[""Effusion""]","[""positive"", ""uncertain""]","[""v3_morphology""]","[""english"", ""german"", ""greek_script"", ""turkish""]","[""effusion_de_root"", ""effusion_el_root"", ""effusion_en_plural"", ""effusion_tr_root""]"
degeneration,1715,1030,1344,1343,"[""ACL"", ""Baker's"", ""Contusion"", ""Effusion"", ""Lateral Meniscus"", ""Lateral OA"", ""MCL"", ""Medial Meniscus"", ""Medial OA"", ""PF OA"", ""Synovitis""]","[""positive"", ""uncertain""]","[""v2_collective"", ""v2_exact"", ""v3_target""]","[""cyrillic_script"", ""dutch"", ""english"", ""french"", ""german"", ""greek_script"", ""latin_other"", ""south_slavic"", ""spanish"", ""turkish""]","[""both_menisci"", ""compartment_scope"", ""target_local_association"", ""tibiofemoral_compartments""]"
baker_cyst,939,737,734,734,"[""Baker's""]","[""positive"", ""uncertain""]","[""v3_morphology""]","[""dutch"", ""english"", ""greek_script"", ""south_slavic""]","[""baker_el"", ""baker_nl"", ""baker_sl"", ""baker_variants""]"
chondral_abnormality_absent,935,485,930,897,"[""Lateral OA"", ""Medial OA"", ""PF OA""]","[""negative""]","[""v3_target""]","[""cyrillic_script"", ""dutch"", ""english"", ""french"", ""german"", ""greek_script"", ""south_slavic"", ""spanish""]","[""compartment_scope""]"
normal_cartilage,868,729,858,802,"[""Lateral OA"", ""Medial OA"", ""PF OA""]","[""negative""]","[""v3_target""]","[""cyrillic_script"", ""dutch"", ""english"", ""french"", ""german"", ""greek_script"", ""latin_other"", ""south_slavic"", ""spanish"", ""turkish""]","[""compartment_normality""]"
