rule,is_explicit_rule,mentions,propositions,unique_studies,selected_pair_participations,selected_winning_pair_participations,detectors,targets,languages,phenotypes,statuses,cumulative_selected_participation_share,cumulative_note
<no_explicit_rule>,False,23695,14711,3966,11770,11764,"[""v2_exact""]","[""ACL"", ""Baker's"", ""Contusion"", ""Effusion"", ""Fracture"", ""Lateral Meniscus"", ""Lateral OA"", ""MCL"", ""Medial Meniscus"", ""Medial OA"", ""PF OA"", ""Synovitis""]","[""cyrillic_script"", ""dutch"", ""english"", ""french"", ""german"", ""greek_script"", ""latin_other"", ""south_slavic"", ""spanish"", ""turkish""]","[""abnormality"", ""abnormality_absent"", ""avulsion"", ""chondral_abnormality"", ""degeneration"", ""extrusion"", ""fracture"", ""sprain"", ""tear""]","[""negative"", ""positive"", ""uncertain""]",0.33851289134438306,Participation denominator; pairs may participate through multiple rules.
target_local_association,True,8255,8090,3004,5378,5356,"[""v2_collective"", ""v2_exact"", ""v3_target""]","[""ACL"", ""Lateral Meniscus"", ""MCL"", ""Medial Meniscus""]","[""cyrillic_script"", ""dutch"", ""english"", ""french"", ""german"", ""greek_script"", ""latin_other"", ""south_slavic"", ""spanish"", ""turkish""]","[""abnormality"", ""abnormality_absent"", ""avulsion"", ""degeneration"", ""extrusion"", ""sprain"", ""tear""]","[""negative"", ""positive"", ""uncertain""]",0.49263351749539597,Participation denominator; pairs may participate through multiple rules.
target_local_normality,True,4510,4496,2274,4444,4357,"[""v3_target""]","[""ACL"", ""Lateral Meniscus"", ""MCL"", ""Medial Meniscus""]","[""cyrillic_script"", ""dutch"", ""english"", ""french"", ""german"", ""greek_script"", ""latin_other"", ""south_slavic"", ""spanish"", ""turkish""]","[""normal_structure""]","[""negative""]",0.6180075966850829,Participation denominator; pairs may participate through multiple rules.
compartment_scope,True,3595,3541,1613,2785,2783,"[""v2_collective"", ""v2_exact"", ""v3_target""]","[""Lateral OA"", ""Medial OA"", ""PF OA""]","[""cyrillic_script"", ""dutch"", ""english"", ""french"", ""german"", ""greek_script"", ""latin_other"", ""south_slavic"", ""spanish"", ""turkish""]","[""chondral_abnormality"", ""chondral_abnormality_absent"", ""degeneration"", ""tear""]","[""negative"", ""positive"", ""uncertain""]",0.6980893186003683,Participation denominator; pairs may participate through multiple rules.
effusion_en_plural,True,1867,1853,1403,1398,1398,"[""v3_morphology""]","[""Effusion""]","[""english""]","[""joint_effusion"", ""joint_effusion_absent""]","[""negative"", ""positive"", ""uncertain""]",0.7383172191528545,Participation denominator; pairs may participate through multiple rules.
both_menisci_negative_only,True,952,948,474,932,923,"[""v2_collective"", ""v3_target""]","[""Lateral Meniscus"", ""Medial Meniscus""]","[""cyrillic_script"", ""dutch"", ""english"", ""french"", ""german"", ""latin_other"", ""south_slavic"", ""spanish"", ""turkish""]","[""abnormality_absent""]","[""negative""]",0.7648768416206262,Participation denominator; pairs may participate through multiple rules.
baker_variants,True,1125,1078,889,887,887,"[""v3_morphology""]","[""Baker's""]","[""dutch"", ""english"", ""south_slavic""]","[""baker_cyst"", ""baker_cyst_absent""]","[""negative"", ""positive"", ""uncertain""]",0.7904005524861878,Participation denominator; pairs may participate through multiple rules.
collateral_ligaments,True,928,925,921,911,887,"[""v2_collective""]","[""MCL""]","[""cyrillic_script"", ""dutch"", ""english"", ""german"", ""greek_script"", ""latin_other"", ""south_slavic"", ""spanish"", ""turkish""]","[""abnormality_absent""]","[""negative""]",0.8159242633517495,Participation denominator; pairs may participate through multiple rules.
cruciate_ligaments,True,895,891,889,874,858,"[""v2_collective""]","[""ACL""]","[""cyrillic_script"", ""dutch"", ""english"", ""french"", ""german"", ""greek_script"", ""latin_other"", ""south_slavic"", ""spanish"", ""turkish""]","[""abnormality_absent""]","[""negative""]",0.8406134898710865,Participation denominator; pairs may participate through multiple rules.
compartment_normality,True,870,868,729,858,802,"[""v3_target""]","[""Lateral OA"", ""Medial OA"", ""PF OA""]","[""cyrillic_script"", ""dutch"", ""english"", ""french"", ""german"", ""greek_script"", ""latin_other"", ""south_slavic"", ""spanish"", ""turkish""]","[""normal_cartilage""]","[""negative""]",0.8636912983425414,Participation denominator; pairs may participate through multiple rules.
