matrix_type,row_target,column_target,study_count,denominator_studies
positive_positive,ACL,ACL,963,4407
positive_positive,ACL,MCL,231,4407
positive_positive,ACL,Medial Meniscus,571,4407
positive_positive,ACL,Lateral Meniscus,375,4407
positive_positive,ACL,Medial OA,170,4407
positive_positive,ACL,Lateral OA,113,4407
positive_positive,ACL,PF OA,219,4407
positive_positive,ACL,Effusion,717,4407
positive_positive,ACL,Synovitis,176,4407
positive_positive,ACL,Baker's,233,4407
positive_positive,ACL,Contusion,191,4407
positive_positive,ACL,Fracture,86,4407
positive_positive,MCL,ACL,231,4407
positive_positive,MCL,MCL,447,4407
positive_positive,MCL,Medial Meniscus,259,4407
positive_positive,MCL,Lateral Meniscus,154,4407
positive_positive,MCL,Medial OA,84,4407
positive_positive,MCL,Lateral OA,35,4407
positive_positive,MCL,PF OA,95,4407
positive_positive,MCL,Effusion,314,4407
positive_positive,MCL,Synovitis,89,4407
positive_positive,MCL,Baker's,103,4407
positive_positive,MCL,Contusion,105,4407
positive_positive,MCL,Fracture,56,4407
positive_positive,Medial Meniscus,ACL,571,4407
positive_positive,Medial Meniscus,MCL,259,4407
positive_positive,Medial Meniscus,Medial Meniscus,2008,4407
positive_positive,Medial Meniscus,Lateral Meniscus,608,4407
positive_positive,Medial Meniscus,Medial OA,461,4407
positive_positive,Medial Meniscus,Lateral OA,256,4407
positive_positive,Medial Meniscus,PF OA,553,4407
positive_positive,Medial Meniscus,Effusion,1359,4407
positive_positive,Medial Meniscus,Synovitis,305,4407
positive_positive,Medial Meniscus,Baker's,578,4407
positive_positive,Medial Meniscus,Contusion,135,4407
positive_positive,Medial Meniscus,Fracture,114,4407
positive_positive,Lateral Meniscus,ACL,375,4407
positive_positive,Lateral Meniscus,MCL,154,4407
positive_positive,Lateral Meniscus,Medial Meniscus,608,4407
positive_positive,Lateral Meniscus,Lateral Meniscus,952,4407
positive_positive,Lateral Meniscus,Medial OA,215,4407
positive_positive,Lateral Meniscus,Lateral OA,204,4407
positive_positive,Lateral Meniscus,PF OA,295,4407
positive_positive,Lateral Meniscus,Effusion,693,4407
positive_positive,Lateral Meniscus,Synovitis,204,4407
positive_positive,Lateral Meniscus,Baker's,287,4407
positive_positive,Lateral Meniscus,Contusion,86,4407
positive_positive,Lateral Meniscus,Fracture,76,4407
positive_positive,Medial OA,ACL,170,4407
positive_positive,Medial OA,MCL,84,4407
positive_positive,Medial OA,Medial Meniscus,461,4407
positive_positive,Medial OA,Lateral Meniscus,215,4407
positive_positive,Medial OA,Medial OA,662,4407
positive_positive,Medial OA,Lateral OA,287,4407
positive_positive,Medial OA,PF OA,395,4407
positive_positive,Medial OA,Effusion,511,4407
positive_positive,Medial OA,Synovitis,166,4407
positive_positive,Medial OA,Baker's,250,4407
positive_positive,Medial OA,Contusion,21,4407
positive_positive,Medial OA,Fracture,44,4407
positive_positive,Lateral OA,ACL,113,4407
positive_positive,Lateral OA,MCL,35,4407
positive_positive,Lateral OA,Medial Meniscus,256,4407
positive_positive,Lateral OA,Lateral Meniscus,204,4407
positive_positive,Lateral OA,Medial OA,287,4407
positive_positive,Lateral OA,Lateral OA,438,4407
positive_positive,Lateral OA,PF OA,293,4407
positive_positive,Lateral OA,Effusion,352,4407
positive_positive,Lateral OA,Synovitis,129,4407
positive_positive,Lateral OA,Baker's,161,4407
positive_positive,Lateral OA,Contusion,16,4407
positive_positive,Lateral OA,Fracture,25,4407
positive_positive,PF OA,ACL,219,4407
positive_positive,PF OA,MCL,95,4407
positive_positive,PF OA,Medial Meniscus,553,4407
positive_positive,PF OA,Lateral Meniscus,295,4407
positive_positive,PF OA,Medial OA,395,4407
positive_positive,PF OA,Lateral OA,293,4407
positive_positive,PF OA,PF OA,1015,4407
positive_positive,PF OA,Effusion,728,4407
positive_positive,PF OA,Synovitis,204,4407
positive_positive,PF OA,Baker's,355,4407
