target,phenotype,status,propositions,proportion_within_target_status_propositions,target_status_proposition_denominator,selected_winning_evidence_instances
ACL,abnormality,positive,217,0.1470189701897019,1476,208
ACL,abnormality,uncertain,32,0.2644628099173554,121,3
ACL,abnormality_absent,negative,2190,0.6765523632993512,3237,2053
ACL,avulsion,positive,17,0.011517615176151762,1476,10
ACL,degeneration,positive,385,0.260840108401084,1476,384
ACL,degeneration,uncertain,23,0.19008264462809918,121,11
ACL,fracture,positive,6,0.0040650406504065045,1476,0
ACL,fracture,uncertain,2,0.01652892561983471,121,0
ACL,normal_structure,negative,1047,0.32344763670064874,3237,1031
ACL,sprain,positive,28,0.018970189701897018,1476,21
ACL,sprain,uncertain,6,0.049586776859504134,121,1
ACL,tear,positive,823,0.5575880758807588,1476,792
ACL,tear,uncertain,58,0.4793388429752066,121,47
Baker's,abnormality,positive,1055,0.4943767572633552,2134,727
Baker's,abnormality,uncertain,17,0.425,40,11
Baker's,abnormality_absent,negative,808,0.7013888888888888,1152,792
Baker's,baker_cyst,positive,922,0.4320524835988753,2134,910
Baker's,baker_cyst,uncertain,17,0.425,40,4
Baker's,baker_cyst_absent,negative,344,0.2986111111111111,1152,341
Baker's,chondral_abnormality,positive,9,0.004217432052483599,2134,8
Baker's,degeneration,positive,5,0.0023430178069353325,2134,3
Baker's,sprain,positive,1,0.00046860356138706655,2134,0
Baker's,tear,positive,142,0.06654170571696345,2134,106
Baker's,tear,uncertain,6,0.15,40,1
Contusion,abnormality,positive,328,0.3818393480791618,859,180
Contusion,abnormality,uncertain,10,0.14925373134328357,67,3
Contusion,abnormality_absent,negative,455,0.4994511525795829,911,445
Contusion,bone_contusion,positive,442,0.5145518044237486,859,424
Contusion,bone_contusion,uncertain,44,0.6567164179104478,67,17
Contusion,bone_contusion_absent,negative,456,0.5005488474204172,911,449
Contusion,chondral_abnormality,positive,22,0.025611175785797437,859,11
Contusion,degeneration,positive,1,0.0011641443538998836,859,1
Contusion,fracture,positive,43,0.050058207217694994,859,23
Contusion,fracture,uncertain,12,0.1791044776119403,67,5
Contusion,sprain,positive,5,0.005820721769499418,859,4
Contusion,tear,positive,18,0.020954598370197905,859,5
Contusion,tear,uncertain,1,0.014925373134328358,67,0
Effusion,abnormality,positive,2982,0.5873547370494386,5077,2254
Effusion,abnormality,uncertain,14,0.32558139534883723,43,4
Effusion,abnormality_absent,negative,1015,0.6002365464222353,1691,935
Effusion,chondral_abnormality,positive,45,0.008863502068150482,5077,30
Effusion,chondral_abnormality,uncertain,2,0.046511627906976744,43,1
Effusion,degeneration,positive,13,0.0025605672641323615,5077,8
Effusion,extrusion,positive,2,0.00039393342525113255,5077,1
Effusion,fracture,positive,1,0.00019696671262556627,5077,1
Effusion,fracture,uncertain,1,0.023255813953488372,43,1
Effusion,joint_effusion,positive,1974,0.3888122907228678,5077,1925
Effusion,joint_effusion,uncertain,24,0.5581395348837209,43,2
Effusion,joint_effusion_absent,negative,676,0.39976345357776466,1691,659
Effusion,tear,positive,60,0.011818002757533978,5077,33
Effusion,tear,uncertain,2,0.046511627906976744,43,0
Fracture,abnormality,positive,1,0.0019193857965451055,521,1
Fracture,abnormality_absent,negative,615,0.4873217115689382,1262,528
Fracture,avulsion,positive,32,0.061420345489443376,521,3
Fracture,avulsion,uncertain,3,0.03488372093023256,86,0
Fracture,chondral_abnormality,positive,3,0.005758157389635317,521,3
Fracture,chondral_abnormality,uncertain,1,0.011627906976744186,86,1
Fracture,fracture,positive,485,0.9309021113243762,521,386
Fracture,fracture,uncertain,82,0.9534883720930233,86,47
Fracture,fracture_absent,negative,647,0.5126782884310618,1262,625
Lateral Meniscus,abnormality,positive,139,0.09242021276595745,1504,126
Lateral Meniscus,abnormality,uncertain,6,0.04411764705882353,136,6
Lateral Meniscus,abnormality_absent,negative,2309,0.6182061579651941,3735,2176
Lateral Meniscus,avulsion,positive,1,0.0006648936170212766,1504,1
Lateral Meniscus,chondral_abnormality,positive,4,0.0026595744680851063,1504,1
Lateral Meniscus,degeneration,positive,395,0.26263297872340424,1504,388
Lateral Meniscus,degeneration,uncertain,11,0.08088235294117647,136,6
Lateral Meniscus,extrusion,positive,17,0.011303191489361703,1504,16
Lateral Meniscus,normal_structure,negative,1426,0.3817938420348059,3735,1407
Lateral Meniscus,sprain,positive,3,0.0019946808510638296,1504,1
Lateral Meniscus,tear,positive,945,0.6283244680851063,1504,868
Lateral Meniscus,tear,uncertain,119,0.875,136,72
Lateral OA,abnormality,positive,50,0.07961783439490445,628,38
Lateral OA,abnormality_absent,negative,648,0.5576592082616179,1162,641
Lateral OA,chondral_abnormality,positive,517,0.8232484076433121,628,509
Lateral OA,chondral_abnormality,uncertain,1,1.0,1,0
Lateral OA,chondral_abnormality_absent,negative,325,0.27969018932874357,1162,322
Lateral OA,degeneration,positive,48,0.07643312101910828,628,39
Lateral OA,fracture,positive,1,0.0015923566878980893,628,0
Lateral OA,normal_cartilage,negative,189,0.16265060240963855,1162,181
Lateral OA,tear,positive,12,0.01910828025477707,628,8
MCL,abnormality,positive,123,0.18468468468468469,666,118
MCL,abnormality,uncertain,34,0.5074626865671642,67,11
MCL,abnormality_absent,negative,2361,0.6145236855804269,3842,2276
MCL,avulsion,positive,10,0.015015015015015015,666,9
MCL,avulsion,uncertain,4,0.05970149253731343,67,0
MCL,chondral_abnormality,positive,1,0.0015015015015015015,666,0
MCL,degeneration,positive,14,0.021021021021021023,666,14
MCL,degeneration,uncertain,2,0.029850746268656716,67,1
MCL,extrusion,positive,1,0.0015015015015015015,666,0
MCL,fracture,positive,1,0.0015015015015015015,666,1
MCL,normal_structure,negative,1481,0.38547631441957314,3842,1452
MCL,sprain,positive,306,0.4594594594594595,666,301
MCL,sprain,uncertain,7,0.1044776119402985,67,4
MCL,tear,positive,210,0.3153153153153153,666,202
MCL,tear,uncertain,20,0.29850746268656714,67,7
Medial Meniscus,abnormality,positive,423,0.1255192878338279,3370,389
Medial Meniscus,abnormality,uncertain,19,0.1165644171779141,163,8
Medial Meniscus,abnormality_absent,negative,1403,0.7213367609254498,1945,1266
Medial Meniscus,avulsion,positive,7,0.0020771513353115725,3370,5
Medial Meniscus,chondral_abnormality,positive,9,0.0026706231454005935,3370,3
Medial Meniscus,chondral_abnormality,uncertain,2,0.012269938650306749,163,1
Medial Meniscus,degeneration,positive,677,0.20089020771513352,3370,648
Medial Meniscus,degeneration,uncertain,13,0.07975460122699386,163,6
Medial Meniscus,extrusion,positive,72,0.021364985163204748,3370,53
Medial Meniscus,extrusion,uncertain,1,0.006134969325153374,163,1
Medial Meniscus,fracture,positive,9,0.0026706231454005935,3370,3
Medial Meniscus,normal_structure,negative,542,0.27866323907455015,1945,510
Medial Meniscus,sprain,positive,4,0.0011869436201780415,3370,4
Medial Meniscus,sprain,uncertain,2,0.012269938650306749,163,1
Medial Meniscus,tear,positive,2169,0.643620178041543,3370,2018
Medial Meniscus,tear,uncertain,126,0.7730061349693251,163,74
Medial OA,abnormality,positive,71,0.07171717171717172,990,51
Medial OA,abnormality_absent,negative,538,0.5615866388308977,958,531
