target,pairs,positive,positive_rate,negative,negative_rate,uncertain,uncertain_rate,unknown,unknown_rate,binary_resolved,binary_resolved_rate,positive_over_binary_resolved,negative_over_binary_resolved
ACL,4407,963,0.21851599727705923,2077,0.4712956659859315,50,0.011345586566825504,1317,0.2988427501701838,3040,0.6898116632629907,0.3167763157894737,0.6832236842105263
MCL,4407,447,0.10142954390742001,2620,0.5945087361016564,18,0.0040844111640571815,1322,0.29997730882686635,3067,0.6959382800090764,0.14574502771437886,0.8542549722856211
Medial Meniscus,4407,2008,0.4556387565237123,1283,0.29112775130474244,74,0.016791468118901746,1042,0.23644202405264353,3291,0.7467665078284548,0.6101488909146157,0.3898511090853844
Lateral Meniscus,4407,952,0.2160199682323576,2191,0.4971636033582936,64,0.014522350805536646,1200,0.27229407760381213,3143,0.7131835715906513,0.3028953229398664,0.6971046770601337
Medial OA,4407,662,0.1502155661447697,589,0.13365100975720445,1,0.0002269117313365101,3155,0.7159065123666893,1251,0.2838665759019741,0.5291766586730615,0.4708233413269384
Lateral OA,4407,438,0.09938733832539143,680,0.15429997730882686,0,0.0,3289,0.7463126843657817,1118,0.2536873156342183,0.39177101967799643,0.6082289803220036
PF OA,4407,1015,0.23031540730655775,864,0.19605173587474473,10,0.002269117313365101,2518,0.5713637395053325,1879,0.4263671431813025,0.5401809473124002,0.45981905268759976
Effusion,4407,2550,0.5786249149081008,977,0.22169276151577036,6,0.0013614703880190605,874,0.19832085318810982,3527,0.8003176764238711,0.7229940459313865,0.27700595406861356
Synovitis,4407,486,0.1102791014295439,21,0.004765146358066712,8,0.0018152938506920807,3892,0.8831404583616973,507,0.11504424778761062,0.9585798816568047,0.04142011834319527
Baker's,4407,989,0.2244157022918085,841,0.19083276605400498,9,0.0020422055820285907,2568,0.582709326072158,1830,0.41524846834581347,0.5404371584699453,0.45956284153005467
Contusion,4407,359,0.08146131154980712,448,0.10165645563875653,14,0.0031767642387111415,3586,0.8137054685727252,807,0.18311776718856365,0.4448574969021066,0.5551425030978935
Fracture,4407,249,0.05650102110279102,585,0.13274336283185842,40,0.009076469253460404,3533,0.8016791468118901,834,0.18924438393464943,0.29856115107913667,0.7014388489208633
