target,status,evidence_instances,possible_pairs,evaluated_pairs,pair_sampling,raw_exact_match_rate,normalized_exact_match_rate,jaccard_mean,jaccard_std,jaccard_median,jaccard_min,jaccard_max,jaccard_p05,jaccard_p25,jaccard_p75,jaccard_p95,jaccard_p99,method
ACL,negative,3084,4753986,20000,deterministic_sample,0.0651,0.0651,0.12738716554305923,0.25944657350957784,0.0,0.0,1.0,0.0,0.0,0.14285714285714285,1.0,1.0,Jaccard over sets of normalize_text + Unicode simple_tokens; no embeddings or external model
ACL,positive,1415,1000405,20000,deterministic_sample,0.00175,0.00175,0.06019551054689508,0.12372875542982258,0.0,0.0,1.0,0.0,0.0,0.06666666666666667,0.29411764705882354,0.625,Jaccard over sets of normalize_text + Unicode simple_tokens; no embeddings or external model
ACL,uncertain,62,1891,1891,all,0.0,0.0,0.07948722296590895,0.12638082245394797,0.02857142857142857,0.0,0.9629629629629629,0.0,0.0,0.13043478260869565,0.31101190476190477,0.6452380952380931,Jaccard over sets of normalize_text + Unicode simple_tokens; no embeddings or external model
Baker's,negative,1133,641278,20000,deterministic_sample,0.1394,0.1394,0.26846105758522226,0.35560326007166,0.09761904761904762,0.0,1.0,0.0,0.0,0.4,1.0,1.0,Jaccard over sets of normalize_text + Unicode simple_tokens; no embeddings or external model
Baker's,positive,1754,1537381,20000,deterministic_sample,0.0082,0.0082,0.10574755886311911,0.1719123664644443,0.047619047619047616,0.0,1.0,0.0,0.0,0.125,0.5,0.8,Jaccard over sets of normalize_text + Unicode simple_tokens; no embeddings or external model
Baker's,uncertain,16,120,120,all,0.03333333333333333,0.03333333333333333,0.2618724228128253,0.3471063387030649,0.0,0.0,1.0,0.0,0.0,0.625,1.0,1.0,Jaccard over sets of normalize_text + Unicode simple_tokens; no embeddings or external model
Contusion,negative,894,399171,20000,deterministic_sample,0.34925,0.34925,0.5455964596281043,0.358290695016796,0.4444444444444444,0.0,1.0,0.08333333333333333,0.18181818181818182,1.0,1.0,1.0,Jaccard over sets of normalize_text + Unicode simple_tokens; no embeddings or external model
Contusion,positive,648,209628,20000,deterministic_sample,0.0007,0.0007,0.0758508897068483,0.10695847143308307,0.04,0.0,1.0,0.0,0.0,0.10526315789473684,0.2857142857142857,0.45454545454545453,Jaccard over sets of normalize_text + Unicode simple_tokens; no embeddings or external model
Contusion,uncertain,25,300,300,all,0.02666666666666667,0.02666666666666667,0.14984798195531704,0.19005612201978309,0.10714285714285714,0.0,1.0,0.0,0.041666666666666664,0.16,0.4090909090909091,1.0,Jaccard over sets of normalize_text + Unicode simple_tokens; no embeddings or external model
Effusion,negative,1594,1269621,20000,deterministic_sample,0.0691,0.0691,0.1742315786460063,0.2867512326741899,0.0,0.0,1.0,0.0,0.0,0.2857142857142857,1.0,1.0,Jaccard over sets of normalize_text + Unicode simple_tokens; no embeddings or external model
Effusion,positive,4252,9037626,20000,deterministic_sample,0.0069,0.0069,0.06535200451154066,0.1520843192561633,0.0,0.0,1.0,0.0,0.0,0.07142857142857142,0.3333333333333333,0.8571428571428571,Jaccard over sets of normalize_text + Unicode simple_tokens; no embeddings or external model
Effusion,uncertain,8,28,28,all,0.07142857142857142,0.07142857142857142,0.0906205453399331,0.2587213351433047,0.0,0.0,1.0,0.0,0.0,0.0476044226044226,0.6937499999999988,1.0,Jaccard over sets of normalize_text + Unicode simple_tokens; no embeddings or external model
Fracture,negative,1153,664128,20000,deterministic_sample,0.2036,0.2036,0.3859007061748412,0.35846709835276774,0.3333333333333333,0.0,1.0,0.0,0.0,0.5,1.0,1.0,Jaccard over sets of normalize_text + Unicode simple_tokens; no embeddings or external model
Fracture,positive,393,77028,20000,deterministic_sample,0.0001,0.0001,0.04931486164456362,0.08461796642569223,0.0,0.0,1.0,0.0,0.0,0.06666666666666667,0.21875,0.3684210526315789,Jaccard over sets of normalize_text + Unicode simple_tokens; no embeddings or external model
Fracture,uncertain,48,1128,1128,all,0.013297872340425532,0.013297872340425532,0.1250977294874455,0.20531691288441814,0.05555555555555555,0.0,1.0,0.0,0.0,0.12566489361702127,0.5833333333333334,1.0,Jaccard over sets of normalize_text + Unicode simple_tokens; no embeddings or external model
Lateral Meniscus,negative,3583,6417153,20000,deterministic_sample,0.04265,0.04265,0.14463535654726856,0.23219156549240552,0.05555555555555555,0.0,1.0,0.0,0.0,0.2,0.7272727272727273,1.0,Jaccard over sets of normalize_text + Unicode simple_tokens; no embeddings or external model
Lateral Meniscus,positive,1401,980700,20000,deterministic_sample,0.00075,0.00075,0.08008052765946852,0.12258112316942624,0.04,0.0,1.0,0.0,0.0,0.09523809523809523,0.34615384615384615,0.5454545454545454,Jaccard over sets of normalize_text + Unicode simple_tokens; no embeddings or external model
Lateral Meniscus,uncertain,84,3486,3486,all,0.011474469305794608,0.011474469305794608,0.19998681643693844,0.20187099204492862,0.17647058823529413,0.0,1.0,0.0,0.03571428571428571,0.26666666666666666,0.625,1.0,Jaccard over sets of normalize_text + Unicode simple_tokens; no embeddings or external model
Lateral OA,negative,1144,653796,20000,deterministic_sample,0.16505,0.16505,0.2919172793272848,0.3518178011636474,0.18181818181818182,0.0,1.0,0.0,0.0,0.375,1.0,1.0,Jaccard over sets of normalize_text + Unicode simple_tokens; no embeddings or external model
Lateral OA,positive,594,176121,20000,deterministic_sample,0.00105,0.00105,0.06757288105046862,0.11019841766950875,0.02020408163265306,0.0,1.0,0.0,0.0,0.1,0.2727272727272727,0.5,Jaccard over sets of normalize_text + Unicode simple_tokens; no embeddings or external model
MCL,negative,3728,6947128,20000,deterministic_sample,0.04475,0.04475,0.11384175963051094,0.238200681200014,0.0,0.0,1.0,0.0,0.0,0.1111111111111111,0.9,1.0,Jaccard over sets of normalize_text + Unicode simple_tokens; no embeddings or external model
MCL,positive,645,207690,20000,deterministic_sample,0.0019,0.0019,0.10208600029811489,0.13884201991474837,0.05714285714285714,0.0,1.0,0.0,0.0,0.14285714285714285,0.375,0.6666666666666666,Jaccard over sets of normalize_text + Unicode simple_tokens; no embeddings or external model
MCL,uncertain,23,253,253,all,0.015810276679841896,0.015810276679841896,0.13766092356056236,0.1996674910999514,0.07692307692307693,0.0,1.0,0.0,0.037037037037037035,0.14814814814814814,0.5517786561264756,1.0,Jaccard over sets of normalize_text + Unicode simple_tokens; no embeddings or external model
Medial Meniscus,negative,1776,1576200,20000,deterministic_sample,0.06775,0.06775,0.14883589931780491,0.2638415377222221,0.0,0.0,1.0,0.0,0.0,0.18181818181818182,1.0,1.0,Jaccard over sets of normalize_text + Unicode simple_tokens; no embeddings or external model
Medial Meniscus,positive,3123,4875003,20000,deterministic_sample,0.0019,0.0019,0.07516313494701175,0.13137482487218796,0.0,0.0,1.0,0.0,0.0,0.08333333333333333,0.35714285714285715,0.5714285714285714,Jaccard over sets of normalize_text + Unicode simple_tokens; no embeddings or external model
