target,language_group,pairs,unknown,unknown_rate,mean_report_characters,mean_report_simple_tokens,mean_clauses,median_clauses,mean_strict_views,mean_linked_views,reports_with_other_binary_resolved_target,mean_other_binary_resolved_targets,interpretation_limit
ACL,cyrillic_script,220,33,0.15,1051.7272727272727,153.0909090909091,18.363636363636363,18.0,18.363636363636363,0.09090909090909091,32,2.878787878787879,Observable structure only; unknown is not interpreted as clinically irrelevant.
ACL,dutch,153,29,0.1895424836601307,1022.4827586206897,129.72413793103448,10.724137931034482,8.0,10.724137931034482,0.0,25,2.9655172413793105,Observable structure only; unknown is not interpreted as clinically irrelevant.
ACL,english,1724,257,0.14907192575406034,683.6031128404669,98.86381322957199,14.517509727626459,11.0,14.517509727626459,0.3035019455252918,196,2.350194552529183,Observable structure only; unknown is not interpreted as clinically irrelevant.
ACL,french,80,22,0.275,1344.7272727272727,199.6818181818182,14.909090909090908,15.0,14.909090909090908,1.0,22,5.409090909090909,Observable structure only; unknown is not interpreted as clinically irrelevant.
ACL,german,259,104,0.4015444015444015,868.0961538461538,99.07692307692308,14.317307692307692,14.0,14.317307692307692,0.057692307692307696,104,3.701923076923077,Observable structure only; unknown is not interpreted as clinically irrelevant.
ACL,greek_script,321,177,0.5514018691588785,964.45197740113,129.40112994350284,9.310734463276836,8.0,9.310734463276836,0.2768361581920904,169,3.0847457627118646,Observable structure only; unknown is not interpreted as clinically irrelevant.
ACL,latin_other,22,3,0.13636363636363635,669.0,86.0,9.333333333333334,10.0,9.333333333333334,0.0,2,3.0,Observable structure only; unknown is not interpreted as clinically irrelevant.
ACL,south_slavic,403,48,0.11910669975186104,1060.3541666666667,131.35416666666666,14.604166666666666,14.0,14.604166666666666,0.375,48,4.541666666666667,Observable structure only; unknown is not interpreted as clinically irrelevant.
ACL,spanish,678,331,0.4882005899705015,341.9305135951662,47.842900302114806,7.54380664652568,6.0,7.54380664652568,0.21148036253776434,226,1.8610271903323263,Observable structure only; unknown is not interpreted as clinically irrelevant.
ACL,turkish,547,313,0.5722120658135283,609.2140575079873,77.44728434504792,10.383386581469649,11.0,10.383386581469649,0.0,312,3.9808306709265175,Observable structure only; unknown is not interpreted as clinically irrelevant.
