record_type,view_kind,support_scope,target,status,detector,rule,phenotype,views,mentions,propositions,selected_pair_participations
overall,strict,__all__,__all__,__all__,__all__,__all__,__all__,79781.0,51937.0,41175,24571.0
overall,linked,__all__,__all__,__all__,__all__,__all__,__all__,2578.0,667.0,636,362.0
proposition_support_scope,__all__,linked_only,__all__,__all__,__all__,__all__,__all__,,,636,362.0
proposition_support_scope,__all__,strict_only,__all__,__all__,__all__,__all__,__all__,,,41175,24571.0
detail,linked_only,linked_only,ACL,negative,v3_target,target_local_association,abnormality_absent,,,13,
detail,linked_only,linked_only,ACL,negative,v3_target,target_local_normality,normal_structure,,,5,
detail,linked_only,linked_only,ACL,positive,v3_target,target_local_association,abnormality,,,9,
detail,linked_only,linked_only,ACL,positive,v3_target,target_local_association,avulsion,,,5,
detail,linked_only,linked_only,ACL,positive,v3_target,target_local_association,degeneration,,,2,
detail,linked_only,linked_only,ACL,positive,v3_target,target_local_association,tear,,,43,
detail,linked_only,linked_only,ACL,uncertain,v3_target,target_local_association,degeneration,,,1,
detail,linked_only,linked_only,ACL,uncertain,v3_target,target_local_association,sprain,,,1,
detail,linked_only,linked_only,ACL,uncertain,v3_target,target_local_association,tear,,,4,
detail,linked_only,linked_only,Baker's,negative,v3_morphology,baker_sl,baker_cyst_absent,,,2,
detail,linked_only,linked_only,Baker's,negative,v3_morphology,baker_variants,baker_cyst_absent,,,1,
detail,linked_only,linked_only,Baker's,positive,v3_morphology,baker_el,baker_cyst,,,3,
detail,linked_only,linked_only,Baker's,positive,v3_morphology,baker_sl,baker_cyst,,,2,
detail,linked_only,linked_only,Baker's,positive,v3_morphology,baker_variants,baker_cyst,,,2,
detail,linked_only,linked_only,Baker's,uncertain,v3_morphology,baker_variants,baker_cyst,,,2,
detail,linked_only,linked_only,Contusion,positive,v3_morphology,contusion_en,bone_contusion,,,13,
detail,linked_only,linked_only,Effusion,negative,v3_morphology,effusion_el_root,joint_effusion_absent,,,10,
detail,linked_only,linked_only,Effusion,negative,v3_morphology,effusion_en_plural,joint_effusion_absent,,,29,
