language_group,target,positive,negative,uncertain,unknown,pairs,resolved,resolved_rate,language_coverage_rank,target_coverage_rank
greek_script,Synovitis,29,0,0,292,321,29,0.09034267912772585,1,1
greek_script,Contusion,36,0,0,285,321,36,0.11214953271028037,1,2
greek_script,Fracture,43,2,0,276,321,45,0.14018691588785046,1,3
greek_script,Lateral OA,20,25,0,276,321,45,0.14018691588785046,1,4
greek_script,Medial OA,32,11,0,278,321,43,0.13395638629283488,1,5
greek_script,PF OA,4,10,0,307,321,14,0.04361370716510903,1,6
greek_script,Baker's,104,0,0,217,321,104,0.32398753894080995,1,7
greek_script,MCL,12,120,0,189,321,132,0.411214953271028,1,8
greek_script,ACL,57,85,0,179,321,142,0.4423676012461059,1,9
greek_script,Lateral Meniscus,55,68,0,198,321,123,0.38317757009345793,1,10
greek_script,Medial Meniscus,121,53,0,147,321,174,0.5420560747663551,1,11
greek_script,Effusion,205,34,0,82,321,239,0.7445482866043613,1,12
cyrillic_script,Synovitis,1,0,0,219,220,1,0.004545454545454545,2,1
cyrillic_script,Contusion,0,0,0,220,220,0,0.0,2,2
cyrillic_script,Fracture,13,9,0,198,220,22,0.1,2,3
cyrillic_script,Lateral OA,1,3,0,216,220,4,0.01818181818181818,2,4
cyrillic_script,Medial OA,0,1,0,219,220,1,0.004545454545454545,2,5
cyrillic_script,PF OA,0,0,0,220,220,0,0.0,2,6
cyrillic_script,Baker's,53,0,0,167,220,53,0.2409090909090909,2,7
cyrillic_script,MCL,0,118,0,102,220,118,0.5363636363636364,2,8
cyrillic_script,ACL,36,150,0,34,220,186,0.8454545454545455,2,9
cyrillic_script,Lateral Meniscus,24,96,0,100,220,120,0.5454545454545454,2,10
cyrillic_script,Medial Meniscus,142,20,0,58,220,162,0.7363636363636363,2,11
cyrillic_script,Effusion,134,75,0,11,220,209,0.95,2,12
turkish,Synovitis,26,0,0,521,547,26,0.04753199268738574,3,1
turkish,Contusion,21,0,0,526,547,21,0.038391224862888484,3,2
turkish,Fracture,14,0,3,530,547,14,0.025594149908592323,3,3
turkish,Lateral OA,29,1,0,517,547,30,0.054844606946983544,3,4
turkish,Medial OA,54,0,0,493,547,54,0.09872029250457039,3,5
turkish,PF OA,59,32,0,456,547,91,0.1663619744058501,3,6
turkish,Baker's,58,0,0,489,547,58,0.10603290676416818,3,7
turkish,MCL,66,414,0,67,547,480,0.8775137111517367,3,8
turkish,ACL,142,54,0,351,547,196,0.3583180987202925,3,9
turkish,Lateral Meniscus,173,285,1,88,547,458,0.8372943327239488,3,10
turkish,Medial Meniscus,352,112,0,83,547,464,0.8482632541133455,3,11
turkish,Effusion,201,131,0,215,547,332,0.6069469835466179,3,12
dutch,Synovitis,6,0,0,147,153,6,0.0392156862745098,4,1
dutch,Contusion,5,0,0,148,153,5,0.032679738562091505,4,2
dutch,Fracture,4,8,1,140,153,12,0.0784313725490196,4,3
