scope,language_group,target,pairs,resolved_rate_v2,resolved_rate_v3,delta
target,,ACL,4407,0.6582709326072158,0.6898116632629907,0.031540730655774896
target,,Baker's,4407,0.3818924438393465,0.41524846834581347,0.033356024506466964
target,,Contusion,4407,0.16904923984570003,0.18311776718856365,0.014068527342863624
target,,Effusion,4407,0.7680962105740867,0.8003176764238711,0.03222146584978436
target,,Fracture,4407,0.18606761969593827,0.18924438393464943,0.0031767642387111605
target,,Lateral Meniscus,4407,0.6927615157703654,0.7131835715906513,0.02042205582028589
target,,Lateral OA,4407,0.2500567279328341,0.2536873156342183,0.0036305877013841914
target,,MCL,4407,0.6047197640117994,0.6959382800090764,0.09121851599727704
target,,Medial Meniscus,4407,0.7170410710233719,0.7467665078284548,0.029725436805082883
target,,Medial OA,4407,0.25051055139550715,0.2838665759019741,0.033356024506466964
target,,PF OA,4407,0.3648740639891082,0.4263671431813025,0.06149307919219427
target,,Synovitis,4407,0.11277513047424552,0.11504424778761062,0.002269117313365099
language_group,cyrillic_script,,2640,0.33181818181818185,0.36363636363636365,0.0318181818181818
language_group,dutch,,1836,0.35294117647058826,0.43137254901960786,0.0784313725490196
language_group,english,,20688,0.5320475638051044,0.5554427687548337,0.023395204949729242
language_group,french,,960,0.50625,0.5354166666666667,0.029166666666666674
language_group,german,,3108,0.36293436293436293,0.3729086229086229,0.009974259974259991
language_group,greek_script,,3852,0.29231568016614745,0.31905503634475596,0.02673935617860851
language_group,latin_other,,264,0.4583333333333333,0.4772727272727273,0.018939393939393978
language_group,south_slavic,,4836,0.38461538461538464,0.4665012406947891,0.08188585607940446
language_group,spanish,,8136,0.3990904621435595,0.4033923303834808,0.004301868239921347
language_group,turkish,,6564,0.3388177940280317,0.3785801340645948,0.03976234003656309
language_group+target,cyrillic_script,ACL,220,0.8454545454545455,0.85,0.004545454545454519
language_group+target,cyrillic_script,Baker's,220,0.2409090909090909,0.2409090909090909,0.0
language_group+target,cyrillic_script,Contusion,220,0.0,0.08636363636363636,0.08636363636363636
language_group+target,cyrillic_script,Effusion,220,0.95,0.95,0.0
language_group+target,cyrillic_script,Fracture,220,0.1,0.1,0.0
language_group+target,cyrillic_script,Lateral Meniscus,220,0.5454545454545454,0.5454545454545454,0.0
language_group+target,cyrillic_script,Lateral OA,220,0.01818181818181818,0.01818181818181818,0.0
language_group+target,cyrillic_script,MCL,220,0.5363636363636364,0.5363636363636364,0.0
language_group+target,cyrillic_script,Medial Meniscus,220,0.7363636363636363,0.7363636363636363,0.0
language_group+target,cyrillic_script,Medial OA,220,0.004545454545454545,0.022727272727272728,0.01818181818181818
language_group+target,cyrillic_script,PF OA,220,0.0,0.2727272727272727,0.2727272727272727
language_group+target,cyrillic_script,Synovitis,220,0.004545454545454545,0.004545454545454545,0.0
language_group+target,dutch,ACL,153,0.803921568627451,0.803921568627451,0.0
language_group+target,dutch,Baker's,153,0.30718954248366015,0.35947712418300654,0.052287581699346386
language_group+target,dutch,Contusion,153,0.032679738562091505,0.032679738562091505,0.0
language_group+target,dutch,Effusion,153,0.7254901960784313,0.7254901960784313,0.0
language_group+target,dutch,Fracture,153,0.0784313725490196,0.0784313725490196,0.0
language_group+target,dutch,Lateral Meniscus,153,0.6535947712418301,0.6666666666666666,0.013071895424836555
language_group+target,dutch,Lateral OA,153,0.0392156862745098,0.26143790849673204,0.22222222222222224
language_group+target,dutch,MCL,153,0.4444444444444444,0.4444444444444444,0.0
language_group+target,dutch,Medial Meniscus,153,0.738562091503268,0.7973856209150327,0.05882352941176472
language_group+target,dutch,Medial OA,153,0.058823529411764705,0.39869281045751637,0.33986928104575165
language_group+target,dutch,PF OA,153,0.3137254901960784,0.5686274509803921,0.2549019607843137
language_group+target,dutch,Synovitis,153,0.0392156862745098,0.0392156862745098,0.0
language_group+target,english,ACL,1724,0.8329466357308585,0.8428074245939675,0.009860788863109038
language_group+target,english,Baker's,1724,0.40835266821345706,0.41183294663573083,0.003480278422273775
language_group+target,english,Contusion,1724,0.3265661252900232,0.3329466357308585,0.006380510440835263
language_group+target,english,Effusion,1724,0.8329466357308585,0.8335266821345708,0.0005800464037123421
language_group+target,english,Fracture,1724,0.3323665893271462,0.3323665893271462,0.0
language_group+target,english,Lateral Meniscus,1724,0.7685614849187935,0.7697215777262181,0.001160092807424573
language_group+target,english,Lateral OA,1724,0.3810904872389791,0.38689095127610207,0.0058004640371229765
language_group+target,english,MCL,1724,0.6090487238979119,0.7952436194895591,0.18619489559164726
language_group+target,english,Medial Meniscus,1724,0.7900232018561485,0.7917633410672854,0.0017401392111369152
language_group+target,english,Medial OA,1724,0.3625290023201856,0.3996519721577726,0.037122969837587005
language_group+target,english,PF OA,1724,0.5614849187935035,0.589907192575406,0.02842227378190254
