language_group,target,status,phenotype,detector,view,propositions
english,Effusion,positive,joint_effusion,v3_morphology,strict,1257
english,Medial Meniscus,positive,tear,v3_target,strict,1033
english,Medial Meniscus,positive,tear,v2_exact,strict,1025
english,MCL,negative,normal_structure,v3_target,strict,928
english,ACL,negative,abnormality_absent,v2_exact,strict,867
english,Lateral Meniscus,negative,abnormality_absent,v2_exact,strict,782
english,Lateral Meniscus,negative,normal_structure,v3_target,strict,771
english,ACL,negative,normal_structure,v3_target,strict,757
english,PF OA,positive,chondral_abnormality,v3_target,strict,726
english,Effusion,positive,abnormality,v2_exact,strict,675
english,MCL,negative,abnormality_absent,v2_exact,strict,614
english,Fracture,negative,fracture_absent,v3_morphology,strict,502
english,Baker's,positive,baker_cyst,v3_morphology,strict,490
english,PF OA,positive,chondral_abnormality,v2_exact,strict,484
english,Synovitis,positive,abnormality,v2_exact,strict,477
english,ACL,positive,tear,v3_target,strict,463
english,Fracture,negative,abnormality_absent,v2_exact,strict,457
english,Lateral Meniscus,positive,tear,v2_exact,strict,438
english,Lateral Meniscus,positive,tear,v3_target,strict,436
english,ACL,positive,tear,v2_exact,strict,433
english,Lateral OA,negative,abnormality_absent,v2_exact,strict,427
english,Effusion,negative,joint_effusion_absent,v3_morphology,strict,424
english,Contusion,negative,bone_contusion_absent,v3_morphology,strict,410
english,Contusion,negative,abnormality_absent,v2_exact,strict,403
english,Medial Meniscus,negative,abnormality_absent,v2_exact,strict,388
english,Medial OA,positive,chondral_abnormality,v3_target,strict,388
english,Effusion,negative,abnormality_absent,v2_exact,strict,378
english,PF OA,negative,abnormality_absent,v2_exact,strict,365
spanish,Medial Meniscus,positive,tear,v2_exact,strict,365
spanish,Medial Meniscus,positive,tear,v3_target,strict,362
spanish,Effusion,positive,abnormality,v2_exact,strict,343
english,Medial Meniscus,negative,normal_structure,v3_target,strict,342
turkish,Effusion,positive,joint_effusion,v3_morphology,strict,337
english,Medial OA,negative,abnormality_absent,v2_exact,strict,335
english,PF OA,negative,normal_cartilage,v3_target,strict,326
english,Baker's,negative,abnormality_absent,v2_exact,strict,323
south_slavic,Effusion,positive,abnormality,v2_exact,strict,303
english,Lateral OA,negative,chondral_abnormality_absent,v3_target,strict,286
turkish,Lateral Meniscus,negative,normal_structure,v3_target,strict,284
turkish,Lateral Meniscus,negative,abnormality_absent,v2_exact,strict,282
spanish,MCL,negative,abnormality_absent,v2_collective,strict,274
spanish,ACL,negative,abnormality_absent,v2_collective,strict,272
spanish,Baker's,negative,abnormality_absent,v2_exact,strict,271
english,Medial OA,positive,chondral_abnormality,v2_exact,strict,270
english,Medial OA,negative,chondral_abnormality_absent,v3_target,strict,269
turkish,MCL,negative,normal_structure,v3_target,strict,268
english,Baker's,negative,baker_cyst_absent,v3_morphology,strict,262
turkish,MCL,negative,abnormality_absent,v2_exact,strict,259
english,Lateral OA,positive,chondral_abnormality,v3_target,strict,257
english,PF OA,negative,chondral_abnormality_absent,v3_target,strict,250
english,Contusion,positive,bone_contusion,v3_morphology,strict,244
cyrillic_script,Effusion,positive,abnormality,v2_exact,strict,228
english,MCL,negative,abnormality_absent,v2_collective,strict,228
english,Baker's,positive,abnormality,v2_exact,strict,225
english,Medial Meniscus,negative,abnormality_absent,v2_collective,strict,224
english,Lateral Meniscus,negative,abnormality_absent,v2_collective,strict,216
cyrillic_script,Medial Meniscus,positive,abnormality,v3_target,strict,212
turkish,Medial Meniscus,positive,tear,v3_target,strict,212
english,Lateral OA,positive,chondral_abnormality,v2_exact,strict,206
turkish,Medial Meniscus,positive,tear,v2_exact,strict,205
turkish,Effusion,positive,abnormality,v2_exact,strict,199
south_slavic,Lateral Meniscus,negative,abnormality_absent,v2_exact,strict,198
turkish,Medial Meniscus,positive,degeneration,v3_target,strict,196
