target,gold_n,gold_positives,gold_negatives,resolved_n,coverage,precision,recall,f1,tp,tn,fp,fn,unknown,uncertain
ACL,58,24,34,41,0.7068965517241379,0.8,1.0,0.888888888888889,20,16,5,0,16,1
MCL,58,9,49,36,0.6206896551724138,0.4444444444444444,1.0,0.6153846153846153,4,27,5,0,21,1
Medial Meniscus,58,26,32,45,0.7758620689655172,0.7931034482758621,1.0,0.8846153846153846,23,16,6,0,13,0
Lateral Meniscus,58,23,35,39,0.6724137931034483,0.7083333333333334,0.8947368421052632,0.7906976744186046,17,13,7,2,17,2
Medial OA,58,15,43,18,0.3103448275862069,0.7272727272727273,0.8888888888888888,0.7999999999999999,8,6,3,1,40,0
Lateral OA,58,11,47,14,0.2413793103448276,0.6666666666666666,1.0,0.8,6,5,3,0,44,0
PF OA,58,21,37,20,0.3448275862068966,0.5555555555555556,0.8333333333333334,0.6666666666666667,5,10,4,1,38,0
Effusion,58,35,23,49,0.8448275862068966,0.6666666666666666,1.0,0.8,30,4,15,0,9,0
Synovitis,58,27,31,15,0.25862068965517243,0.7333333333333333,1.0,0.846153846153846,11,0,4,0,43,0
Baker's,58,12,46,21,0.3620689655172414,0.7142857142857143,1.0,0.8333333333333333,10,7,4,0,37,0
Contusion,58,19,39,19,0.3275862068965517,0.7142857142857143,0.9090909090909091,0.8,10,4,4,1,38,1
Fracture,58,18,40,24,0.41379310344827586,0.7058823529411765,1.0,0.8275862068965517,12,7,5,0,34,0
