language_group,studies,gold_studies,mean_report_chars,positive,negative,uncertain,unknown,resolved_rate
cyrillic_script,220,3,1089.2954545454545,404,472,0,1764,0.33181818181818185
dutch,153,2,941.2679738562091,276,372,6,1182,0.35294117647058826
english,1724,28,1359.5475638051043,4618,6389,164,9517,0.5320475638051044
french,80,0,1743.225,230,256,2,472,0.50625
german,259,2,851.2316602316603,329,799,2,1978,0.36293436293436293
greek_script,321,3,962.4890965732087,718,408,0,2726,0.29231568016614745
latin_other,22,0,952.0,35,86,0,143,0.4583333333333333
south_slavic,403,4,1184.6625310173697,713,1147,30,2946,0.38461538461538464
spanish,678,10,793.1784660766962,1236,2011,16,4873,0.3990904621435595
turkish,547,6,742.0968921389397,1195,1029,4,4336,0.3388177940280317
