language_group,target,status_v2,status_v3,pairs
cyrillic_script,ACL,negative,negative,149
cyrillic_script,ACL,negative,positive,1
cyrillic_script,ACL,positive,positive,36
cyrillic_script,ACL,unknown,negative,1
cyrillic_script,ACL,unknown,unknown,33
cyrillic_script,Baker's,positive,positive,53
cyrillic_script,Baker's,unknown,unknown,167
cyrillic_script,Contusion,unknown,positive,19
cyrillic_script,Contusion,unknown,unknown,201
cyrillic_script,Effusion,negative,negative,75
cyrillic_script,Effusion,positive,positive,134
cyrillic_script,Effusion,unknown,unknown,11
cyrillic_script,Fracture,negative,negative,9
cyrillic_script,Fracture,positive,positive,13
cyrillic_script,Fracture,unknown,unknown,198
cyrillic_script,Lateral Meniscus,negative,negative,96
cyrillic_script,Lateral Meniscus,positive,positive,24
cyrillic_script,Lateral Meniscus,unknown,unknown,100
cyrillic_script,Lateral OA,negative,negative,3
cyrillic_script,Lateral OA,positive,positive,1
cyrillic_script,Lateral OA,unknown,unknown,216
cyrillic_script,MCL,negative,negative,118
cyrillic_script,MCL,unknown,unknown,102
cyrillic_script,Medial Meniscus,negative,negative,20
cyrillic_script,Medial Meniscus,positive,positive,142
cyrillic_script,Medial Meniscus,unknown,unknown,58
cyrillic_script,Medial OA,negative,negative,1
cyrillic_script,Medial OA,unknown,positive,4
cyrillic_script,Medial OA,unknown,unknown,215
cyrillic_script,PF OA,unknown,negative,50
cyrillic_script,PF OA,unknown,positive,10
cyrillic_script,PF OA,unknown,unknown,160
cyrillic_script,Synovitis,positive,positive,1
cyrillic_script,Synovitis,unknown,unknown,219
dutch,ACL,negative,negative,98
dutch,ACL,positive,positive,25
dutch,ACL,uncertain,uncertain,1
dutch,ACL,unknown,unknown,29
dutch,Baker's,positive,positive,47
dutch,Baker's,unknown,negative,1
dutch,Baker's,unknown,positive,7
dutch,Baker's,unknown,unknown,98
dutch,Contusion,positive,positive,5
dutch,Contusion,unknown,unknown,148
dutch,Effusion,negative,negative,20
dutch,Effusion,positive,positive,91
dutch,Effusion,uncertain,uncertain,1
dutch,Effusion,unknown,unknown,41
dutch,Fracture,negative,negative,8
dutch,Fracture,positive,positive,4
dutch,Fracture,uncertain,uncertain,1
dutch,Fracture,unknown,unknown,140
